 ,Area,Mean,Min,Max,X,Y
1,0,207,207,207,1735.000,863.000
2,0,209,209,209,1799.167,934.833
3,0,199,199,199,1826.500,952.833
4,0,187,187,187,1857.833,941.500
5,0,215,215,215,1885.833,923.500
6,0,207,207,207,1925.833,935.500
7,0,197,197,197,1877.833,1019.500
8,0,174,174,174,1837.833,1080.833
9,0,185,185,185,1687.167,1078.833
10,0,183,183,183,1693.833,1085.500
11,0,192,192,192,1671.833,1002.833
12,0,188,188,188,1667.167,1116.167
13,0,188,188,188,1713.833,1170.167
14,0,172,172,172,1717.167,1160.833
15,0,178,178,178,1776.500,1208.167
16,0,176,176,176,1818.500,1188.833
17,0,172,172,172,1887.167,1148.833
18,0,181,181,181,1912.500,1142.833
19,0,196,196,196,1661.167,1232.167
20,0,184,184,184,1709.167,1387.500
21,0,177,177,177,1757.833,1420.167
22,0,169,169,169,1810.500,1362.167
23,0,169,169,169,1846.500,1326.833
24,0,181,181,181,1761.833,1302.167
25,0,180,180,180,1911.167,1268.167
26,0,162,162,162,1812.500,1527.500
27,0,173,173,173,1763.833,1530.833
28,0,194,194,194,1731.167,1539.500
29,0,195,195,195,1731.833,1544.167
30,0,168,168,168,1688.500,1528.167
31,0,200,200,200,1673.167,1570.167
32,0,189,189,189,1665.167,1569.500
33,0,166,166,166,1681.833,1640.167
34,0,183,183,183,1750.500,1617.500
35,0,174,174,174,1761.833,1610.167
36,0,153,153,153,1794.500,1621.500
37,0,164,164,164,1811.167,1625.500
38,0,173,173,173,1737.833,1646.167
39,0,164,164,164,1752.500,1634.833
40,0,156,156,156,1751.167,1666.167
41,0,184,184,184,1833.167,1620.833
42,0,156,156,156,1837.833,1614.167
43,0,182,182,182,1831.167,1570.167
44,0,170,170,170,1827.167,1581.500
45,0,179,179,179,1879.833,1555.500
46,0,179,179,179,1861.833,1622.833
47,0,176,176,176,1871.833,1626.167
48,0,168,168,168,1838.500,1652.833
49,0,174,174,174,1897.167,1534.167
50,0,165,165,165,1913.167,1518.833
51,0,177,177,177,1955.167,911.500
52,0,204,204,204,1945.167,986.833
53,0,193,193,193,1953.833,1020.167
54,0,198,198,198,1973.833,1067.500
55,0,198,198,198,2072.500,1028.167
56,0,179,179,179,2071.833,1051.500
57,0,194,194,194,2067.833,1071.500
58,0,191,191,191,2102.500,995.500
59,0,193,193,193,2030.500,1136.833
60,0,185,185,185,2039.833,1138.833
61,0,175,175,175,2054.500,1168.167
62,0,178,178,178,2052.500,1177.500
63,0,179,179,179,1945.167,1225.500
64,0,195,195,195,2061.167,1236.833
65,0,178,178,178,2099.833,1210.167
66,0,198,198,198,2123.167,1221.500
67,0,184,184,184,2123.167,1208.167
68,0,177,177,177,1990.500,1275.500
69,0,176,176,176,1993.167,1341.500
70,0,165,165,165,1971.833,1352.833
