 ,Area,Mean,Min,Max,X,Y
1,0,147,147,147,1748.000,1500.000
2,0,196,196,196,1754.833,1505.500
3,0,176,176,176,1790.833,1490.167
4,0,180,180,180,1796.167,1501.500
5,0,173,173,173,1788.833,1490.833
6,0,155,155,155,1790.833,1508.833
7,0,142,142,142,1765.500,1514.167
8,0,174,174,174,1748.833,1465.500
9,0,163,163,163,1786.167,1461.500
10,0,157,157,157,1801.500,1464.833
11,0,180,180,180,1807.500,1349.500
12,0,173,173,173,1807.500,1330.167
13,0,176,176,176,1820.167,1378.167
14,0,166,166,166,1820.167,1388.167
15,0,175,175,175,1800.833,1405.500
16,0,154,154,154,1843.500,1423.500
17,0,182,182,182,1834.167,1430.167
18,0,173,173,173,1852.833,1408.833
19,0,161,161,161,1843.500,1403.500
20,0,163,163,163,1890.167,1412.167
21,0,156,156,156,1880.833,1440.167
22,0,154,154,154,1846.833,1450.167
23,0,174,174,174,1826.167,1483.500
24,0,151,151,151,1845.500,1479.500
25,0,161,161,161,1848.833,1497.500
26,0,150,150,150,1836.167,1508.167
27,0,158,158,158,1834.167,1528.833
28,0,167,167,167,1863.500,1518.167
29,0,169,169,169,1766.833,1122.167
30,0,181,181,181,1722.833,1167.500
31,0,201,201,201,1730.167,1179.500
32,0,166,166,166,1770.167,1252.833
33,0,156,156,156,1803.500,1260.167
34,0,196,196,196,1795.500,1130.167
35,0,181,181,181,1820.167,1098.167
36,0,190,190,190,1826.833,1085.500
37,0,179,179,179,1836.833,1062.833
38,0,169,169,169,1857.500,1086.833
39,0,179,179,179,1873.500,1083.500
40,0,183,183,183,1846.167,1109.500
41,0,188,188,188,1880.833,1095.500
42,0,198,198,198,1895.500,1089.500
43,0,179,179,179,1876.167,1146.167
44,0,178,178,178,1864.167,1178.833
45,0,190,190,190,1865.500,1016.167
46,0,184,184,184,1945.500,1072.833
47,0,187,187,187,1924.167,1153.500
48,0,187,187,187,1946.167,1210.167
49,0,178,178,178,1875.500,1215.500
50,0,161,161,161,1899.500,1291.500
51,0,201,201,201,1895.500,1293.500
52,0,172,172,172,1884.833,1299.500
53,0,149,149,149,1871.500,1337.500
54,0,169,169,169,1903.500,1337.500
55,0,154,154,154,1928.833,1332.833
56,0,159,159,159,1938.167,1318.167
57,0,162,162,162,1912.167,1404.167
58,0,176,176,176,1928.833,1386.833
59,0,165,165,165,1910.833,1442.833
60,0,163,163,163,1935.500,1470.833
61,0,168,168,168,1936.167,1479.500
62,0,184,184,184,1963.500,1410.833
63,0,169,169,169,1889.500,1492.167
64,0,175,175,175,1905.500,1524.167
65,0,172,172,172,1930.167,1540.167
66,0,151,151,151,1894.167,1554.833
67,0,162,162,162,1792.167,1532.167
68,0,160,160,160,1787.500,1555.500
69,0,168,168,168,1798.167,1559.500
70,0,150,150,150,1777.500,1580.167
71,0,154,154,154,1804.833,1575.500
72,0,169,169,169,1788.167,1606.167
73,0,166,166,166,1804.167,1607.500
74,0,153,153,153,1796.833,1626.167
75,0,167,167,167,1811.500,1625.500
76,0,158,158,158,1881.500,1584.833
77,0,154,154,154,1852.833,1614.833
78,0,156,156,156,1850.167,1655.500
79,0,144,144,144,1824.833,1655.500
80,0,144,144,144,1819.500,1660.167
81,0,155,155,155,1812.833,1676.833
82,0,156,156,156,1824.833,1680.833
83,0,144,144,144,1865.500,1642.167
84,0,173,173,173,1868.833,1632.167
85,0,161,161,161,1887.500,1618.833
86,0,148,148,148,1916.833,1606.167
87,0,162,162,162,1922.167,1588.833
88,0,147,147,147,1929.500,1613.500
89,0,136,136,136,1918.167,1665.500
90,0,142,142,142,1892.167,1676.833
91,0,177,177,177,1952.167,1687.500
92,0,163,163,163,1964.833,1682.833
93,0,175,175,175,1986.833,1687.500
94,0,167,167,167,1984.167,1696.167
95,0,169,169,169,1989.500,1669.500
96,0,176,176,176,1980.833,1674.833
97,0,165,165,165,2016.167,1648.167
98,0,159,159,159,2033.500,1633.500
99,0,175,175,175,2040.167,1618.833
100,0,165,165,165,2018.833,1611.500
101,0,152,152,152,2003.500,1596.167
102,0,175,175,175,1989.500,1608.833
103,0,176,176,176,1977.500,1591.500
104,0,166,166,166,2024.167,1668.833
105,0,144,144,144,2072.833,1675.500
106,0,175,175,175,2049.500,1694.167
107,0,178,178,178,2097.500,1646.833
108,0,163,163,163,2056.167,1562.167
109,0,175,175,175,2028.833,1594.167
110,0,163,163,163,2018.833,1526.833
111,0,164,164,164,2021.500,1539.500
112,0,173,173,173,2059.500,1526.833
113,0,188,188,188,2070.167,1527.500
114,0,174,174,174,2099.500,1518.833
115,0,169,169,169,2183.500,1503.500
116,0,167,167,167,2163.500,1576.833
117,0,175,175,175,2180.833,1586.833
118,0,172,172,172,2188.167,1583.500
119,0,159,159,159,2121.500,1584.167
120,0,192,192,192,2174.167,1649.500
121,0,158,158,158,2154.833,1660.167
122,0,149,149,149,2178.167,1663.500
123,0,170,170,170,2185.500,1689.500
124,0,169,169,169,2220.167,1647.500
125,0,182,182,182,2236.833,1655.500
126,0,174,174,174,2256.167,1558.833
127,0,179,179,179,2213.500,1473.500
128,0,182,182,182,2135.500,1431.500
129,0,182,182,182,2137.500,1438.167
130,0,157,157,157,2108.167,1437.500
131,0,161,161,161,2083.500,1446.833
132,0,167,167,167,2080.167,1444.833
133,0,171,171,171,2079.500,1467.500
134,0,172,172,172,2008.167,1464.833
135,0,153,153,153,2006.167,1442.167
136,0,181,181,181,2016.833,1480.167
137,0,172,172,172,2032.167,1487.500
138,0,173,173,173,2270.167,1476.833
139,0,163,163,163,2275.500,1496.833
140,0,163,163,163,2277.500,1514.833
141,0,164,164,164,2275.500,1682.833
142,0,167,167,167,2064.167,1220.167
143,0,164,164,164,2068.167,1233.500
144,0,172,172,172,2059.500,1236.167
145,0,180,180,180,2029.500,1270.833
146,0,168,168,168,2108.833,1290.833
147,0,187,187,187,2133.500,1332.167
148,0,186,186,186,2148.833,1321.500
149,0,189,189,189,2140.167,1376.167
150,0,191,191,191,2137.500,1368.833
151,0,159,159,159,2153.500,1356.833
152,0,181,181,181,2084.833,1344.833
153,0,164,164,164,2070.167,1350.167
154,0,167,167,167,2004.833,1312.833
155,0,169,169,169,2043.500,1346.833
156,0,158,158,158,2015.500,1372.833
157,0,162,162,162,2074.167,1384.167
158,0,154,154,154,2058.167,1398.167
159,0,157,157,157,2058.833,1412.167
160,0,169,169,169,2178.167,1362.167
161,0,161,161,161,2222.167,1358.167
162,0,188,188,188,2240.167,1336.167
163,0,183,183,183,2272.833,1340.167
164,0,177,177,177,2249.500,1262.167
165,0,182,182,182,2192.833,1241.500
166,0,184,184,184,2221.500,1185.500
167,0,192,192,192,2102.167,1051.500
168,0,196,196,196,2114.833,1034.833
169,0,187,187,187,2119.500,975.500
170,0,191,191,191,2043.500,925.500
171,0,191,191,191,2038.833,914.167
172,0,204,204,204,1970.167,966.833
173,0,183,183,183,1973.500,1077.500
174,0,195,195,195,1980.833,1105.500
175,0,191,191,191,2014.833,1086.167
176,0,178,178,178,2066.167,1091.500
177,0,200,200,200,2074.167,1080.833
178,0,194,194,194,2219.500,966.167
179,0,185,185,185,2220.167,990.833
180,0,202,202,202,2244.167,1004.833
181,0,181,181,181,2268.167,991.500
182,0,206,206,206,2303.167,1051.167
183,0,212,212,212,2303.167,1048.500
184,0,216,216,216,2281.833,1105.167
185,0,194,194,194,2286.500,1095.833
186,0,195,195,195,2289.167,1177.833
187,0,179,179,179,2293.833,1195.167
188,0,204,204,204,2395.833,1140.500
189,0,197,197,197,2346.500,1107.167
190,0,186,186,186,2389.167,1187.833
191,0,182,182,182,2304.500,1289.167
192,0,197,197,197,2383.833,1366.500
193,0,186,186,186,2384.500,1347.833
194,0,184,184,184,2371.167,1437.833
195,0,187,187,187,2323.167,1489.167
196,0,171,171,171,2319.167,1499.167
197,0,161,161,161,2339.167,1505.833
198,0,178,178,178,2325.167,1524.500
199,0,175,175,175,2343.833,1550.500
200,0,170,170,170,2372.500,1551.167
201,0,184,184,184,2398.500,1531.167
202,0,178,178,178,2412.500,1485.167
203,0,181,181,181,2423.167,1486.500
204,0,170,170,170,2301.167,1561.167
205,0,185,185,185,2332.500,1603.833
206,0,199,199,199,2339.167,1609.833
207,0,178,178,178,2361.167,1621.167
208,0,172,172,172,2399.833,1606.500
209,0,185,185,185,2309.833,1625.833
210,0,152,152,152,2305.167,1630.500
211,0,159,159,159,2301.833,1686.500
212,0,184,184,184,2313.833,1679.833
213,0,161,161,161,2313.833,1693.833
214,0,172,172,172,2432.500,1575.167
215,0,199,199,199,2475.167,1635.833
216,0,191,191,191,2457.167,1641.833
217,0,181,181,181,2444.500,1655.833
218,0,163,163,163,2415.167,1687.167
219,0,183,183,183,2467.833,1617.167
220,0,181,181,181,2459.167,1623.833
221,0,185,185,185,2472.500,1567.167
222,0,198,198,198,2474.500,1501.833
223,0,161,161,161,2436.500,1527.833
224,0,192,192,192,2467.167,1499.833
225,0,200,200,200,2467.167,1483.167
226,0,171,171,171,2495.167,1470.500
227,0,207,207,207,2562.500,1473.167
228,0,185,185,185,2565.833,1461.167
229,0,187,187,187,2579.833,1507.167
230,0,201,201,201,2577.833,1561.833
231,0,210,210,210,2541.167,1593.167
232,0,196,196,196,2571.167,1592.500
233,0,187,187,187,2575.833,1622.500
234,0,195,195,195,2570.500,1632.500
235,0,199,199,199,2574.500,1689.167
236,0,201,201,201,2677.167,1616.167
237,0,181,181,181,2675.167,1652.833
238,0,190,190,190,2659.833,1648.833
239,0,194,194,194,2639.833,1506.167
240,0,200,200,200,2592.500,1390.167
241,0,203,203,203,2580.500,1400.833
242,0,202,202,202,2587.167,1359.500
243,0,189,189,189,2523.167,1397.500
244,0,207,207,207,2523.167,1374.167
245,0,195,195,195,2449.500,1269.167
246,0,194,194,194,2489.500,1403.833
247,0,194,194,194,2468.833,1172.500
248,0,183,183,183,1582.500,1888.500
249,0,179,179,179,1594.500,1888.500
250,0,160,160,160,1607.500,1904.500
251,0,148,148,148,1582.500,1979.500
252,0,165,165,165,1601.500,1960.500
253,0,189,189,189,1562.500,1915.500
254,0,150,150,150,1575.500,1932.500
255,0,170,170,170,1516.500,1857.500
256,0,144,144,144,1548.500,1867.500
257,0,151,151,151,1485.500,1873.500
258,0,153,153,153,1470.500,1861.500
259,0,171,171,171,1425.500,1889.500
260,0,133,133,133,1418.500,1884.500
261,0,143,143,143,1364.500,1883.500
262,0,140,140,140,1381.500,1892.500
263,0,165,165,165,1401.500,1913.500
264,0,157,157,157,1421.500,1912.500
265,0,165,165,165,1435.500,1913.500
266,0,171,171,171,1456.500,1934.500
267,0,155,155,155,1449.500,1951.500
268,0,138,138,138,1472.500,1951.500
269,0,163,163,163,1495.500,1921.500
270,0,160,160,160,1492.500,1931.500
271,0,155,155,155,1513.500,1911.500
272,0,147,147,147,1524.500,1956.500
273,0,169,169,169,1380.500,1961.500
274,0,172,172,172,1389.500,1965.500
275,0,172,172,172,1489.500,1995.500
276,0,140,140,140,1504.500,2000.500
277,0,164,164,164,1436.500,1995.500
278,0,168,168,168,1346.500,1973.500
279,0,152,152,152,1319.500,1976.500
280,0,158,158,158,1319.500,2004.500
281,0,164,164,164,1571.500,1997.500
282,0,141,141,141,1445.500,2034.500
283,0,147,147,147,1460.500,2046.500
284,0,148,148,148,1511.500,2024.500
285,0,138,138,138,1507.500,2042.500
286,0,136,136,136,1576.500,2118.500
287,0,137,137,137,1573.500,2139.500
288,0,148,148,148,1561.500,2164.500
289,0,138,138,138,1511.500,2135.500
290,0,145,145,145,1519.500,2158.500
291,0,176,176,176,1457.500,2135.500
292,0,147,147,147,1457.500,2118.500
293,0,148,148,148,1461.500,2161.000
294,0,169,169,169,1417.500,2102.000
295,0,163,163,163,1390.000,2115.500
296,0,144,144,144,1410.000,2133.000
297,0,153,153,153,1426.500,2172.000
298,0,162,162,162,1425.500,2185.000
299,0,152,152,152,1440.500,2181.500
300,0,159,159,159,1449.000,2193.000
301,0,151,151,151,1484.500,2216.000
302,0,142,142,142,1510.500,2231.000
303,0,153,153,153,1427.000,2230.500
304,0,162,162,162,1360.000,2252.000
305,0,157,157,157,1583.500,2216.000
306,0,145,145,145,1590.000,2198.000
307,0,157,157,157,1530.500,2237.500
308,0,145,145,145,1572.500,2250.500
309,0,135,135,135,1575.000,2273.000
310,0,162,162,162,1541.500,2281.500
311,0,151,151,151,1536.500,2277.500
312,0,158,158,158,1491.500,2303.000
313,0,141,141,141,1432.000,2281.000
314,0,136,136,136,1467.000,2298.500
315,0,128,128,128,1412.500,2315.500
316,0,166,166,166,1427.500,2323.500
317,0,162,162,162,1449.500,2330.500
318,0,158,158,158,1461.500,2323.000
319,0,140,140,140,1503.000,2330.500
320,0,135,135,135,1528.500,2346.000
321,0,143,143,143,1528.000,2332.500
322,0,139,139,139,1564.500,2344.500
323,0,127,127,127,1543.000,2375.000
324,0,153,153,153,1457.500,2375.000
325,0,158,158,158,1457.000,2371.500
326,0,172,172,172,1414.000,2327.500
327,0,142,142,142,1402.500,2327.000
328,0,163,163,163,1440.000,2389.500
329,0,163,163,163,1437.500,2379.000
330,0,141,141,141,1533.500,2411.500
331,0,140,140,140,1564.000,2393.000
332,0,154,154,154,1567.500,2384.000
333,0,148,148,148,1577.000,2443.000
334,0,136,136,136,1531.000,2478.500
335,0,163,163,163,1524.000,2541.000
336,0,142,142,142,1521.500,2547.500
337,0,137,137,137,1492.500,2516.000
338,0,141,141,141,1460.500,2454.500
339,0,173,173,173,1457.000,2461.000
340,0,147,147,147,1449.000,2413.500
341,0,147,147,147,1416.500,2427.000
342,0,144,144,144,1412.500,2419.000
343,0,133,133,133,1369.500,2508.500
344,0,154,154,154,1361.500,2518.500
345,0,174,174,174,1353.500,2528.000
346,0,155,155,155,1384.000,2507.000
347,0,152,152,152,1379.000,2542.000
348,0,129,129,129,1413.000,2494.000
349,0,148,148,148,1439.500,2539.000
350,0,155,155,155,1438.000,2558.000
351,0,153,153,153,1433.500,2565.000
352,0,156,156,156,1571.500,2630.000
353,0,166,166,166,1579.000,2653.000
354,0,156,156,156,1571.000,2647.000
355,0,154,154,154,1428.500,2611.000
356,0,150,150,150,1421.000,2624.000
357,0,140,140,140,1436.500,2625.000
358,0,138,138,138,1375.500,2614.500
359,0,149,149,149,1390.000,2645.000
360,0,142,142,142,1433.000,2697.000
361,0,163,163,163,1468.500,2704.000
362,0,173,173,173,1472.000,2716.000
363,0,179,179,179,1470.500,2725.000
364,0,145,145,145,1423.000,2728.000
365,0,147,147,147,1515.500,2810.500
366,0,150,150,150,1449.000,2803.250
367,0,172,172,172,1448.000,2822.000
368,0,137,137,137,1446.000,2754.750
369,0,156,156,156,1443.000,2746.000
370,0,157,157,157,1260.500,1878.167
371,0,164,164,164,1259.167,1878.167
372,0,151,151,151,1230.500,1879.500
373,0,154,154,154,1224.500,1884.167
374,0,154,154,154,1180.500,1894.167
375,0,152,152,152,1168.500,1881.500
376,0,162,162,162,1091.833,1891.500
