 ,Area,Mean,Min,Max,X,Y
1,0,156,156,156,1509.000,1684.000
2,0,158,158,158,1412.500,1862.833
3,0,179,179,179,1411.167,1866.167
4,0,175,175,175,1128.500,1753.500
5,0,142,142,142,1290.500,1808.167
6,0,176,176,176,1183.167,1513.500
7,0,160,160,160,1182.500,1518.833
8,0,148,148,148,1150.500,1657.500
9,0,163,163,163,796.167,1721.500
10,0,148,148,148,826.833,1873.500
11,0,163,163,163,854.833,1914.833
12,0,175,175,175,699.500,2000.833
13,0,157,157,157,1018.500,1841.500
14,0,141,141,141,2240.833,2265.500
15,0,143,143,143,2243.500,2281.500
16,0,131,131,131,1819.500,2480.167
17,0,152,152,152,1820.833,2777.500
18,0,141,141,141,2514.500,2442.167
