 ,Area,Mean,Min,Max,X,Y
1,0,204,204,204,1009.000,1123.000
2,0,196,196,196,1131.500,1170.833
3,0,177,177,177,1234.167,1148.167
4,0,174,174,174,1227.500,1542.500
5,0,186,186,186,1173.500,1525.500
6,0,175,175,175,1124.500,1629.500
7,0,178,178,178,937.500,1605.500
8,0,174,174,174,1320.500,1517.500
9,0,184,184,184,1353.500,1451.500
10,0,170,170,170,1348.500,1433.500
11,0,182,182,182,1260.500,1569.500
12,0,180,180,180,1291.500,1615.500
13,0,207,207,207,1532.500,931.833
14,0,181,181,181,1539.167,961.167
15,0,186,186,186,1463.167,805.167
16,0,187,187,187,1447.167,903.833
17,0,174,174,174,1599.167,977.167
18,0,183,183,183,1619.167,953.167
19,0,191,191,191,1528.500,1157.167
20,0,172,172,172,1444.500,1207.833
21,0,183,183,183,1429.833,1267.833
22,0,166,166,166,1357.833,1286.500
23,0,167,167,167,1335.167,1310.500
24,0,177,177,177,1248.500,1375.833
25,0,178,178,178,1473.833,1246.500
26,0,177,177,177,1472.500,1357.167
27,0,171,171,171,1395.167,1377.167
28,0,167,167,167,1516.500,1341.167
29,0,192,192,192,1504.500,1481.167
30,0,174,174,174,1496.500,1497.167
31,0,194,194,194,1552.500,1438.500
32,0,163,163,163,1549.833,1431.833
33,0,176,176,176,1536.500,1490.833
34,0,182,182,182,1550.500,1498.833
35,0,166,166,166,1471.167,1599.500
36,0,184,184,184,1485.833,1592.167
37,0,195,195,195,1455.167,1550.833
38,0,176,176,176,1512.500,1610.833
39,0,193,193,193,1518.500,1628.167
40,0,172,172,172,1530.500,1627.500
41,0,165,165,165,1517.833,1650.167
42,0,164,164,164,1383.000,1546.000
43,0,167,167,167,1384.000,1573.500
44,0,178,178,178,1391.000,1652.500
45,0,174,174,174,1393.500,1677.500
46,0,163,163,163,1280.000,1653.000
47,0,173,173,173,1276.000,1662.500
48,0,172,172,172,1298.000,1663.500
49,0,171,171,171,1578.167,1577.833
50,0,177,177,177,1566.000,1285.000
51,0,189,189,189,1561.000,1348.000
52,0,173,173,173,1566.500,1338.500
53,0,206,206,206,671.167,1527.500
54,0,189,189,189,704.500,1545.500
55,0,153,153,153,2018.833,1926.167
56,0,175,175,175,2029.500,1938.167
57,0,165,165,165,2048.833,1912.167
58,0,180,180,180,2066.833,1938.833
59,0,157,157,157,2086.833,1922.167
60,0,167,167,167,1945.500,1932.167
61,0,148,148,148,2004.833,1984.833
62,0,169,169,169,2024.167,2008.167
63,0,184,184,184,2039.500,2012.167
64,0,150,150,150,1908.833,1993.500
65,0,154,154,154,1904.833,1990.833
66,0,180,180,180,1900.167,2019.500
67,0,151,151,151,1889.500,1996.833
68,0,173,173,173,1878.167,1984.167
69,0,161,161,161,1950.167,2056.833
70,0,160,160,160,1977.500,2086.833
71,0,166,166,166,2036.833,2082.167
72,0,146,146,146,2088.833,2046.833
73,0,161,161,161,2095.500,2096.833
74,0,177,177,177,1885.500,2062.833
75,0,163,163,163,1880.167,2052.833
76,0,158,158,158,1896.833,2109.500
77,0,158,158,158,1968.833,2202.833
78,0,152,152,152,1907.500,2241.500
79,0,152,152,152,2048.833,2295.500
80,0,163,163,163,1998.167,2295.500
81,0,151,151,151,1913.500,2280.167
82,0,170,170,170,1892.833,2343.500
83,0,163,163,163,1900.833,2360.167
84,0,167,167,167,2151.500,2164.833
85,0,167,167,167,2175.500,2128.833
86,0,171,171,171,2213.500,1984.500
87,0,157,157,157,2310.500,2008.500
88,0,167,167,167,2369.500,2058.500
89,0,152,152,152,2425.500,2054.500
90,0,170,170,170,2439.500,2004.500
91,0,169,169,169,2578.500,2164.500
92,0,165,165,165,2323.500,2214.500
93,0,175,175,175,2396.500,2271.500
94,0,202,202,202,2614.500,2225.500
95,0,172,172,172,2240.500,2301.500
96,0,161,161,161,2197.500,2306.500
97,0,154,154,154,2288.500,2383.500
98,0,166,166,166,2293.500,2473.500
99,0,152,152,152,2183.500,2536.500
100,0,173,173,173,1805.500,2225.500
101,0,167,167,167,1811.500,2235.500
102,0,168,168,168,1812.500,2285.500
103,0,145,145,145,1817.500,2295.500
104,0,177,177,177,1783.500,2291.500
105,0,168,168,168,1774.500,2302.500
106,0,152,152,152,1791.500,2307.500
107,0,161,161,161,1764.500,2276.500
108,0,177,177,177,1751.500,2392.500
109,0,153,153,153,1755.500,2403.500
110,0,164,164,164,1786.500,2451.500
111,0,152,152,152,1811.500,2449.500
112,0,151,151,151,1807.500,2386.500
113,0,164,164,164,1854.500,2295.500
114,0,157,157,157,1877.500,2290.500
115,0,149,149,149,1784.833,2499.167
116,0,158,158,158,1762.167,2533.833
117,0,155,155,155,1748.167,2545.833
118,0,153,153,153,1752.833,2583.833
119,0,168,168,168,1746.833,2580.500
120,0,163,163,163,1793.500,2607.833
121,0,149,149,149,1936.833,2619.167
122,0,152,152,152,1915.500,2501.167
123,0,168,168,168,1918.167,2479.833
124,0,157,157,157,1894.833,2426.500
125,0,168,168,168,1875.500,2373.833
126,0,165,165,165,1852.167,2121.833
127,0,152,152,152,1846.167,2087.167
128,0,155,155,155,1835.500,2096.500
129,0,188,188,188,1786.167,2104.500
130,0,185,185,185,1794.833,2096.500
131,0,152,152,152,1800.833,2180.500
132,0,149,149,149,1792.167,2201.167
133,0,157,157,157,1780.167,2221.833
134,0,160,160,160,1824.167,2214.500
135,0,159,159,159,1826.833,2187.167
136,0,147,147,147,1813.500,2000.500
137,0,159,159,159,1817.500,2042.500
138,0,152,152,152,1780.833,2062.500
139,0,181,181,181,1790.167,2053.833
140,0,152,152,152,1898.167,1940.500
141,0,164,164,164,1802.833,1987.167
142,0,150,150,150,1911.500,2385.500
143,0,150,150,150,1911.500,2385.500
