 ,Area,Mean,Min,Max,X,Y
1,0,195,195,195,1734.000,852.000
2,0,214,214,214,1868.500,932.500
3,0,199,199,199,1822.500,996.500
4,0,170,170,170,1775.500,1131.500
5,0,163,163,163,1705.500,1095.500
6,0,172,172,172,1837.500,1162.500
7,0,220,220,220,2051.500,982.500
8,0,155,155,155,1704.500,1339.500
9,0,161,161,161,1866.500,1398.500
10,0,173,173,173,1864.500,1434.500
11,0,161,161,161,1935.500,1395.500
12,0,163,163,163,1923.500,1488.500
13,0,180,180,180,2080.500,1428.500
14,0,183,183,183,2062.500,1471.500
15,0,156,156,156,1718.500,1556.500
16,0,151,151,151,1752.500,1533.500
17,0,148,148,148,1788.500,1562.500
18,0,162,162,162,1773.500,1594.500
19,0,166,166,166,1780.500,1609.500
20,0,147,147,147,1797.500,1626.500
21,0,168,168,168,1871.500,1609.500
22,0,144,144,144,1821.500,1654.500
23,0,140,140,140,1842.500,1650.500
24,0,167,167,167,1870.500,1655.500
25,0,148,148,148,1793.500,1657.500
26,0,141,141,141,1759.500,1680.500
27,0,156,156,156,1643.500,1609.167
28,0,143,143,143,1675.500,1602.500
29,0,167,167,167,1634.167,1450.500
30,0,156,156,156,1627.500,1401.167
31,0,172,172,172,1653.167,1213.833
32,0,149,149,149,1699.500,1730.500
33,0,152,152,152,2011.500,1604.500
34,0,162,162,162,2069.500,1630.500
35,0,186,186,186,2115.500,1641.500
36,0,169,169,169,2107.500,1731.500
37,0,159,159,159,1946.500,1730.500
38,0,185,185,185,2278.500,1519.500
39,0,186,186,186,2242.500,1606.500
40,0,162,162,162,2223.500,1639.500
41,0,208,208,208,2269.500,1647.500
42,0,192,192,192,2295.500,1671.500
43,0,190,190,190,2375.500,1668.500
44,0,198,198,198,2471.500,1682.500
45,0,223,223,223,2542.500,1742.500
46,0,169,169,169,2013.500,1263.500
47,0,142,142,142,1312.833,1921.500
48,0,165,165,165,1402.167,1948.167
49,0,138,138,138,1160.833,1917.500
50,0,164,164,164,1356.833,2040.167
51,0,146,146,146,1302.167,1998.833
52,0,131,131,131,1207.500,1976.167
53,0,140,140,140,1262.167,2062.833
54,0,132,132,132,1404.833,2092.167
55,0,139,139,139,1319.500,2104.167
56,0,131,131,131,1342.167,2140.167
57,0,146,146,146,1418.167,2146.833
58,0,136,136,136,1314.167,2174.833
59,0,130,130,130,1356.833,2226.833
60,0,146,146,146,1368.833,2296.167
61,0,135,135,135,1396.833,2332.167
62,0,134,134,134,1374.167,2372.167
63,0,146,146,146,1403.500,2394.833
64,0,135,135,135,1310.167,2332.167
65,0,138,138,138,1318.167,2361.500
66,0,138,138,138,1324.833,2390.833
67,0,134,134,134,1300.833,2238.833
68,0,142,142,142,1266.167,2237.500
69,0,142,142,142,1216.833,2194.833
70,0,139,139,139,1224.833,2164.167
71,0,153,153,153,1232.833,2089.500
72,0,132,132,132,1216.833,2084.167
73,0,140,140,140,1115.500,2081.500
74,0,147,147,147,1100.833,2137.500
75,0,161,161,161,1123.500,2200.167
76,0,130,130,130,1124.833,2249.500
77,0,144,144,144,1140.833,2288.167
78,0,134,134,134,996.833,2258.833
79,0,145,145,145,1058.167,2353.500
80,0,135,135,135,1198.167,2345.500
81,0,137,137,137,1348.833,2451.500
82,0,144,144,144,1298.833,2436.833
83,0,149,149,149,1379.500,2493.500
84,0,157,157,157,1181.500,2506.167
85,0,156,156,156,1117.500,2580.833
86,0,143,143,143,1188.167,2638.167
87,0,128,128,128,1322.167,2536.833
88,0,136,136,136,1380.833,2574.833
89,0,143,143,143,1415.500,2544.167
90,0,155,155,155,1357.500,2634.167
91,0,151,151,151,1314.833,2641.500
92,0,128,128,128,1066.833,2648.167
93,0,135,135,135,1035.500,2666.167
94,0,151,151,151,1348.167,2714.167
95,0,142,142,142,1395.500,2714.833
96,0,155,155,155,1380.833,2679.500
97,0,139,139,139,1430.833,2688.833
98,0,140,140,140,1330.167,2735.500
99,0,158,158,158,1257.500,2714.833
100,0,152,152,152,1246.167,2731.500
101,0,150,150,150,1180.833,2736.167
102,0,152,152,152,1206.167,2734.833
103,0,154,154,154,1203.500,2780.833
104,0,158,158,158,1194.167,2803.500
105,0,143,143,143,1163.500,2780.167
106,0,150,150,150,1128.833,2779.500
107,0,137,137,137,1102.167,2788.167
108,0,150,150,150,1052.167,2704.833
109,0,145,145,145,1264.167,2817.500
110,0,148,148,148,1222.167,2833.500
111,0,145,145,145,1366.833,2864.167
112,0,136,136,136,965.167,2415.833
113,0,138,138,138,784.500,2205.167
114,0,148,148,148,647.167,2187.833
115,0,152,152,152,587.167,2165.833
116,0,150,150,150,605.833,2306.500
117,0,195,195,195,617.833,2317.167
118,0,149,149,149,1042.500,2454.500
119,0,161,161,161,575.500,1939.500
120,0,194,194,194,507.500,2018.500
121,0,157,157,157,515.500,2109.500
122,0,165,165,165,522.500,2190.500
123,0,152,152,152,673.500,2027.500
124,0,163,163,163,751.500,2033.500
125,0,145,145,145,829.500,2005.500
126,0,189,189,189,495.833,1914.167
127,0,169,169,169,504.500,1923.500
128,0,148,148,148,859.500,1998.833
129,0,158,158,158,843.500,2592.500
130,0,164,164,164,829.500,2630.500
