 ,Area,Mean,Min,Max,X,Y
1,0,193,193,193,1398.000,824.000
2,0,216,216,216,1408.833,828.833
3,0,216,216,216,1400.833,837.500
4,0,192,192,192,1401.500,853.500
5,0,199,199,199,1396.167,863.500
6,0,198,198,198,1408.167,868.167
7,0,191,191,191,1424.167,841.500
8,0,206,206,206,1443.500,846.167
9,0,206,206,206,1409.500,938.167
10,0,202,202,202,1383.500,918.833
11,0,190,190,190,1374.833,829.500
12,0,197,197,197,1344.167,835.500
13,0,184,184,184,1320.833,844.833
14,0,186,186,186,1331.500,868.167
15,0,180,180,180,1370.833,884.167
16,0,216,216,216,1432.167,971.500
17,0,192,192,192,1423.500,1021.500
18,0,181,181,181,1425.500,1042.167
19,0,181,181,181,1379.500,974.167
20,0,188,188,188,1342.167,940.833
21,0,190,190,190,1332.167,1016.167
22,0,194,194,194,1302.167,1049.500
23,0,178,178,178,1368.833,1145.500
24,0,195,195,195,1370.167,1171.500
25,0,203,203,203,1362.167,1168.167
26,0,176,176,176,1340.167,1148.167
27,0,155,155,155,1327.500,1158.833
28,0,162,162,162,1344.167,1182.833
29,0,175,175,175,1430.833,1161.500
30,0,185,185,185,1450.167,1142.833
31,0,156,156,156,1390.833,1165.500
32,0,157,157,157,1452.833,1204.167
33,0,159,159,159,1415.500,1237.500
34,0,200,200,200,1336.833,1252.833
35,0,184,184,184,1420.833,1231.500
36,0,158,158,158,1487.500,1258.833
37,0,143,143,143,1419.500,1383.500
38,0,174,174,174,1396.833,1411.500
39,0,187,187,187,1396.167,1422.833
40,0,161,161,161,1388.167,1408.167
41,0,160,160,160,1392.833,1438.833
42,0,164,164,164,1403.500,1454.833
43,0,160,160,160,1404.167,1470.167
44,0,162,162,162,1382.167,1441.500
45,0,172,172,172,1378.167,1441.500
46,0,142,142,142,1356.833,1408.167
47,0,162,162,162,1362.833,1456.167
48,0,149,149,149,1349.500,1451.500
49,0,145,145,145,1375.500,1469.500
50,0,158,158,158,1371.500,1484.167
51,0,170,170,170,1277.500,1465.500
52,0,143,143,143,1294.833,1532.167
53,0,142,142,142,1362.167,1616.833
54,0,159,159,159,1347.500,1619.500
55,0,158,158,158,1267.833,1672.500
56,0,196,196,196,1227.167,864.833
57,0,188,188,188,1132.500,874.833
58,0,183,183,183,1247.167,980.167
59,0,202,202,202,1166.500,999.500
60,0,172,172,172,1181.167,1119.500
61,0,179,179,179,1211.167,1242.167
62,0,173,173,173,1177.833,1224.833
63,0,178,178,178,1201.167,1271.500
64,0,141,141,141,1199.167,1390.167
65,0,186,186,186,1032.500,1122.500
66,0,164,164,164,1068.500,1274.500
67,0,171,171,171,761.500,1179.500
68,0,168,168,168,712.500,1270.500
69,0,158,158,158,913.500,1388.500
70,0,139,139,139,927.500,1551.500
71,0,154,154,154,1054.500,1554.500
72,0,144,144,144,1000.500,1685.500
73,0,150,150,150,843.500,1659.500
74,0,163,163,163,791.500,1666.500
75,0,175,175,175,754.500,1669.500
76,0,166,166,166,724.500,1645.500
77,0,146,146,146,704.500,1661.500
78,0,176,176,176,697.500,1657.500
79,0,180,180,180,699.500,1590.500
80,0,158,158,158,674.500,1630.500
81,0,175,175,175,528.833,1603.833
82,0,152,152,152,507.500,1639.167
83,0,202,202,202,508.833,1657.833
84,0,172,172,172,532.167,1625.833
85,0,211,211,211,544.167,1625.167
86,0,197,197,197,537.500,1639.167
87,0,165,165,165,576.167,1617.167
88,0,169,169,169,548.167,1651.833
89,0,173,173,173,600.167,1634.500
90,0,184,184,184,586.833,1672.500
91,0,201,201,201,658.833,1641.833
92,0,173,173,173,609.500,1667.833
93,0,153,153,153,806.000,1664.500
94,0,135,135,135,1627.167,1962.167
95,0,166,166,166,1765.833,2006.167
96,0,172,172,172,1765.833,1998.167
97,0,164,164,164,1782.500,1934.167
98,0,151,151,151,1781.167,1930.833
99,0,151,151,151,1821.167,1933.500
100,0,135,135,135,1853.833,1977.500
101,0,142,142,142,1837.167,1993.500
102,0,160,160,160,1800.500,2006.833
103,0,135,135,135,1831.833,2039.500
104,0,140,140,140,1799.167,2056.833
105,0,141,141,141,1805.833,2077.500
106,0,153,153,153,1833.167,2092.833
107,0,144,144,144,1841.167,2128.833
108,0,151,151,151,1855.167,2118.167
109,0,163,163,163,1789.167,2143.500
110,0,129,129,129,1686.500,2056.833
111,0,138,138,138,1668.500,2080.833
112,0,174,174,174,1594.500,2142.167
113,0,159,159,159,1699.167,2121.500
114,0,144,144,144,1632.500,2296.833
115,0,167,167,167,1606.500,2306.833
116,0,152,152,152,1669.167,2312.833
117,0,130,130,130,1687.167,2294.833
118,0,141,141,141,1728.500,2360.833
119,0,159,159,159,1650.500,2385.500
120,0,158,158,158,1635.833,2385.500
121,0,145,145,145,1656.500,2422.167
122,0,144,144,144,1587.833,2418.833
123,0,139,139,139,1597.833,2500.833
124,0,165,165,165,1690.500,2498.167
125,0,140,140,140,1619.833,2562.833
126,0,155,155,155,1633.833,2589.500
127,0,156,156,156,1627.167,2606.833
128,0,160,160,160,1633.833,2664.167
129,0,166,166,166,1647.167,2656.833
130,0,166,166,166,1672.500,2644.833
131,0,173,173,173,1664.500,2647.500
132,0,148,148,148,1663.833,2629.500
133,0,157,157,157,1641.833,2628.167
134,0,159,159,159,1716.500,2658.167
135,0,147,147,147,1745.167,2635.500
136,0,171,171,171,1839.167,2600.833
137,0,170,170,170,1804.500,2680.167
138,0,169,169,169,1829.167,2704.167
139,0,173,173,173,1832.500,2715.500
140,0,170,170,170,1831.167,2753.500
141,0,147,147,147,1773.833,2795.500
142,0,154,154,154,1747.167,2722.833
143,0,136,136,136,1662.167,2766.500
144,0,148,148,148,1694.833,2749.167
145,0,155,155,155,1714.833,2769.167
146,0,169,169,169,1720.167,2791.167
147,0,152,152,152,1730.833,2775.167
148,0,165,165,165,1673.500,2801.833
149,0,141,141,141,1648.167,2831.167
150,0,182,182,182,1649.500,2842.500
151,0,174,174,174,1648.167,2855.833
152,0,173,173,173,1651.500,2869.167
153,0,185,185,185,1645.500,2877.833
154,0,148,148,148,1670.167,2865.167
155,0,160,160,160,1679.500,2849.167
156,0,154,154,154,1667.500,2834.500
157,0,144,144,144,1696.167,2835.167
158,0,169,169,169,1698.167,2843.167
159,0,187,187,187,1714.500,2823.000
160,0,165,165,165,1712.500,2822.500
161,0,151,151,151,1751.000,2805.000
162,0,148,148,148,1763.500,2803.500
163,0,176,176,176,1739.000,2824.000
164,0,167,167,167,1741.500,2835.000
165,0,179,179,179,1728.500,2833.500
166,0,172,172,172,1718.000,2850.000
167,0,165,165,165,1763.000,2840.500
168,0,159,159,159,1788.000,2828.500
169,0,172,172,172,1789.500,2812.500
170,0,156,156,156,1766.500,2817.500
171,0,175,175,175,1767.500,2829.500
172,0,165,165,165,1749.500,2832.000
173,0,182,182,182,1867.500,2807.167
174,0,199,199,199,1865.500,2827.167
175,0,167,167,167,1896.167,2817.167
176,0,175,175,175,1914.167,2793.167
177,0,154,154,154,1935.500,2811.167
178,0,157,157,157,1930.167,2777.167
179,0,184,184,184,1906.167,2735.167
180,0,153,153,153,1887.500,2697.833
181,0,161,161,161,1944.167,2694.500
182,0,170,170,170,1942.833,2717.167
183,0,166,166,166,1945.500,2575.167
184,0,160,160,160,2016.500,2636.500
185,0,180,180,180,1990.500,2698.500
186,0,165,165,165,1903.500,2442.500
187,0,180,180,180,2107.500,2412.500
188,0,184,184,184,2176.500,2384.500
189,0,159,159,159,1865.500,2151.500
190,0,150,150,150,1898.500,2255.500
191,0,157,157,157,1996.500,2187.500
192,0,150,150,150,2015.500,2199.500
193,0,173,173,173,1898.500,1958.500
194,0,178,178,178,1905.833,1955.167
195,0,164,164,164,1933.167,1934.500
196,0,158,158,158,2002.500,1958.500
197,0,168,168,168,2023.833,1960.500
198,0,191,191,191,1981.167,1983.833
199,0,164,164,164,1963.833,1985.833
200,0,172,172,172,1946.500,1987.167
201,0,179,179,179,1948.500,2014.500
202,0,167,167,167,1936.500,2021.833
203,0,167,167,167,1912.500,2012.500
204,0,154,154,154,1919.833,2061.167
205,0,177,177,177,1915.167,2063.833
206,0,172,172,172,1905.167,2073.167
207,0,156,156,156,1895.167,2081.833
208,0,143,143,143,1879.833,2071.167
209,0,170,170,170,1892.500,2101.167
210,0,165,165,165,1883.167,2095.833
211,0,175,175,175,1947.167,2094.500
212,0,162,162,162,1939.833,2113.167
213,0,152,152,152,1943.167,2055.833
214,0,157,157,157,1955.833,2047.167
215,0,180,180,180,2034.500,2009.167
216,0,155,155,155,2027.833,2023.167
217,0,167,167,167,2053.167,2043.833
218,0,178,178,178,2052.500,2041.833
219,0,155,155,155,2007.833,2077.167
220,0,178,178,178,2071.833,1944.833
221,0,184,184,184,2191.167,1942.833
222,0,161,161,161,2184.500,1974.167
223,0,167,167,167,2245.167,1938.167
224,0,166,166,166,2187.833,1991.500
225,0,194,194,194,2162.500,1995.500
226,0,162,162,162,2159.833,2007.500
227,0,166,166,166,2113.833,2001.500
228,0,183,183,183,2095.833,1994.833
229,0,186,186,186,2083.167,2002.167
230,0,169,169,169,2099.167,2046.833
231,0,188,188,188,2140.500,2029.500
232,0,188,188,188,2173.167,2020.167
233,0,199,199,199,2197.167,2037.500
234,0,181,181,181,2187.167,2050.167
235,0,167,167,167,2224.500,1996.167
236,0,189,189,189,2249.167,1992.167
237,0,191,191,191,2264.500,2003.500
238,0,161,161,161,2274.500,2009.500
239,0,175,175,175,2267.833,1998.167
240,0,193,193,193,2275.167,2070.833
241,0,177,177,177,2171.167,2140.167
242,0,196,196,196,2180.500,2144.833
243,0,173,173,173,2127.833,2166.167
244,0,177,177,177,2084.500,2171.500
245,0,182,182,182,2153.833,2183.500
246,0,175,175,175,2263.833,2175.500
247,0,182,182,182,2275.167,2162.833
248,0,174,174,174,2215.167,2198.167
249,0,169,169,169,2180.500,2214.833
250,0,186,186,186,2220.500,2238.833
251,0,185,185,185,2165.167,2255.500
252,0,162,162,162,2135.167,2280.167
253,0,190,190,190,2187.167,2296.167
254,0,219,219,219,2336.167,1980.500
255,0,176,176,176,2292.833,2035.167
256,0,157,157,157,2281.500,2023.167
257,0,190,190,190,2352.833,2002.500
258,0,219,219,219,2366.833,1987.833
259,0,217,217,217,2370.833,1991.167
260,0,180,180,180,2359.500,2016.500
261,0,217,217,217,2350.833,2043.167
262,0,195,195,195,2383.500,2003.167
263,0,213,213,213,2408.167,1994.500
264,0,208,208,208,2450.833,1982.500
265,0,180,180,180,2453.500,1989.833
266,0,219,219,219,2459.500,1955.833
267,0,188,188,188,2438.167,2025.833
268,0,189,189,189,2391.500,2042.500
269,0,206,206,206,2349.500,2067.167
270,0,183,183,183,2306.833,2064.500
271,0,176,176,176,2330.833,2089.167
272,0,172,172,172,2241.500,2087.167
273,0,200,200,200,2296.833,2146.500
274,0,191,191,191,2315.500,2110.500
275,0,215,215,215,2322.167,2123.167
276,0,191,191,191,2333.500,2163.167
277,0,194,194,194,2356.833,2174.500
278,0,190,190,190,2302.833,2227.167
279,0,201,201,201,2406.167,2085.167
280,0,193,193,193,2401.500,2103.167
281,0,186,186,186,2458.167,2063.167
282,0,203,203,203,2486.167,2185.167
283,0,185,185,185,2486.167,2196.500
284,0,220,220,220,2512.833,1939.167
285,0,183,183,183,2538.167,2019.167
286,0,205,205,205,2536.167,2011.167
287,0,178,178,178,2378.833,2301.500
288,0,195,195,195,2342.833,2282.833
289,0,189,189,189,2476.500,2241.500
