 ,Area,Mean,Min,Max,X,Y
1,0,176,176,176,1609.000,796.000
2,0,193,193,193,1567.500,845.500
3,0,177,177,177,1533.500,823.500
4,0,163,163,163,1529.500,876.500
5,0,193,193,193,1549.500,900.500
6,0,180,180,180,1526.500,923.500
7,0,195,195,195,1518.500,927.500
8,0,174,174,174,1425.500,896.500
9,0,175,175,175,1329.500,894.500
10,0,168,168,168,1439.500,993.500
11,0,160,160,160,1352.500,1011.500
12,0,196,196,196,1596.500,905.500
13,0,166,166,166,1591.500,942.500
14,0,160,160,160,1461.500,1043.500
15,0,156,156,156,1439.500,1058.500
16,0,148,148,148,1367.500,1049.500
17,0,174,174,174,1368.500,1080.500
18,0,170,170,170,1409.500,1078.500
19,0,165,165,165,1451.500,1122.500
20,0,152,152,152,1589.500,1102.500
21,0,162,162,162,1593.500,1034.500
22,0,162,162,162,1602.500,1174.500
23,0,191,191,191,1609.500,1225.500
24,0,163,163,163,1615.500,1229.500
25,0,178,178,178,1536.500,1251.500
26,0,160,160,160,1541.500,1218.500
27,0,154,154,154,1504.500,1223.500
28,0,159,159,159,1427.500,1261.500
29,0,161,161,161,1429.500,1308.500
30,0,153,153,153,1460.500,1309.500
31,0,169,169,169,1369.500,1285.500
32,0,167,167,167,1535.500,1395.500
33,0,164,164,164,1522.500,1403.500
34,0,155,155,155,1409.500,1432.500
35,0,139,139,139,1409.500,1473.500
36,0,162,162,162,1558.500,1506.500
37,0,142,142,142,1605.500,1488.500
38,0,138,138,138,1517.500,1553.500
39,0,156,156,156,1523.500,1586.500
40,0,163,163,163,1454.500,1618.500
41,0,150,150,150,1289.833,1501.500
42,0,140,140,140,1257.167,1633.500
43,0,128,128,128,1191.833,1619.500
44,0,147,147,147,1110.500,1548.167
45,0,166,166,166,1169.833,1532.833
46,0,148,148,148,1171.167,1464.833
47,0,151,151,151,1186.500,1478.167
48,0,138,138,138,1237.167,1484.167
49,0,148,148,148,1219.833,1501.500
50,0,158,158,158,1295.833,1384.167
51,0,153,153,153,1214.500,1308.833
52,0,148,148,148,1112.500,1542.167
53,0,146,146,146,1062.500,1472.167
54,0,156,156,156,1059.167,1411.500
55,0,161,161,161,1115.833,1338.833
56,0,148,148,148,1101.833,1591.500
57,0,173,173,173,1191.833,1250.167
58,0,144,144,144,1184.500,1266.833
59,0,158,158,158,1267.833,1173.500
60,0,165,165,165,1245.167,1166.833
61,0,163,163,163,1276.500,1127.500
62,0,183,183,183,1239.833,1012.167
63,0,183,183,183,1223.833,1039.500
64,0,156,156,156,1201.833,1071.500
65,0,177,177,177,1179.833,1074.833
66,0,165,165,165,1153.833,1020.167
67,0,168,168,168,1143.167,977.500
68,0,182,182,182,1125.833,980.833
69,0,186,186,186,1177.833,952.833
70,0,176,176,176,1185.833,980.833
71,0,177,177,177,1232.500,886.167
72,0,180,180,180,1227.833,851.500
73,0,185,185,185,1125.167,904.833
74,0,190,190,190,1105.167,1018.167
75,0,165,165,165,1103.167,1029.500
76,0,189,189,189,1083.833,1030.833
77,0,191,191,191,1066.500,1020.167
78,0,191,191,191,1065.167,1078.833
79,0,176,176,176,1048.500,1109.500
80,0,185,185,185,1044.500,1102.167
81,0,172,172,172,1037.167,1036.833
82,0,189,189,189,933.167,1134.167
83,0,169,169,169,934.500,1144.167
84,0,183,183,183,870.500,1180.167
85,0,167,167,167,1009.833,1164.167
86,0,166,166,166,939.833,1176.833
87,0,157,157,157,941.167,1226.833
88,0,171,171,171,893.167,1255.500
89,0,184,184,184,869.167,1248.167
90,0,182,182,182,825.833,1246.167
91,0,183,183,183,916.500,1299.500
92,0,186,186,186,933.833,1322.167
93,0,166,166,166,1024.500,1324.167
94,0,181,181,181,859.167,1322.833
95,0,166,166,166,819.167,1320.167
96,0,178,178,178,787.833,1313.500
97,0,162,162,162,808.500,1338.167
98,0,163,163,163,796.500,1339.500
99,0,160,160,160,783.833,1354.833
100,0,177,177,177,797.833,1363.500
101,0,191,191,191,783.167,1369.500
102,0,185,185,185,774.500,1381.500
103,0,178,178,178,798.500,1380.833
104,0,176,176,176,873.833,1392.833
105,0,185,185,185,945.167,1323.500
106,0,174,174,174,922.500,1443.500
107,0,163,163,163,897.167,1460.167
108,0,159,159,159,967.833,1448.833
109,0,154,154,154,1021.833,1504.833
110,0,147,147,147,976.500,1497.500
111,0,153,153,153,820.500,1410.833
112,0,187,187,187,801.833,1403.500
113,0,186,186,186,793.167,1416.167
114,0,180,180,180,806.500,1431.500
115,0,180,180,180,818.500,1480.167
116,0,180,180,180,783.167,1490.833
117,0,165,165,165,851.833,1514.833
118,0,162,162,162,802.500,1560.167
119,0,153,153,153,785.833,1550.167
120,0,167,167,167,794.500,1556.167
121,0,163,163,163,926.500,1582.833
122,0,148,148,148,1023.833,1563.500
123,0,159,159,159,924.500,1596.167
124,0,163,163,163,945.167,1618.167
125,0,160,160,160,925.833,1627.500
126,0,162,162,162,851.167,1592.833
