 ,Area,Mean,Min,Max,X,Y
1,0,195,195,195,1603.000,668.000
2,0,220,220,220,1618.500,705.500
3,0,215,215,215,1638.500,701.500
4,0,183,183,183,1682.500,719.500
5,0,187,187,187,1713.500,719.500
6,0,182,182,182,1879.500,736.500
7,0,176,176,176,1876.500,824.500
8,0,195,195,195,1644.500,810.500
9,0,177,177,177,1650.500,833.500
10,0,211,211,211,1638.500,834.500
11,0,211,211,211,1623.500,855.500
12,0,169,169,169,1609.500,864.500
13,0,164,164,164,1715.500,856.500
14,0,186,186,186,1699.500,774.500
15,0,152,152,152,1692.500,1213.500
16,0,148,148,148,1622.500,1259.500
17,0,176,176,176,1795.500,1167.500
18,0,150,150,150,1697.500,1421.500
19,0,150,150,150,1874.500,1475.500
20,0,176,176,176,2211.500,1481.500
21,0,160,160,160,2195.500,1470.500
22,0,151,151,151,2118.500,1498.500
23,0,147,147,147,2096.500,1482.500
24,0,152,152,152,2097.500,1516.500
25,0,151,151,151,2138.500,1556.500
26,0,152,152,152,2113.500,1552.500
27,0,162,162,162,2185.500,1559.500
28,0,157,157,157,2207.500,1542.500
29,0,162,162,162,2149.500,1419.500
30,0,172,172,172,2141.500,1439.500
31,0,180,180,180,2122.500,1414.500
32,0,170,170,170,2109.500,1409.500
33,0,180,180,180,2092.500,1384.500
34,0,152,152,152,2067.500,1358.500
35,0,156,156,156,1932.500,1363.500
36,0,158,158,158,1930.500,1474.500
37,0,161,161,161,2080.500,1247.500
38,0,161,161,161,2056.500,1238.500
39,0,162,162,162,2050.500,1182.500
40,0,181,181,181,1907.500,1082.500
41,0,176,176,176,2121.500,1228.500
42,0,161,161,161,2125.500,1315.500
43,0,166,166,166,2207.500,1196.500
44,0,172,172,172,2208.500,1228.500
45,0,183,183,183,2100.500,1151.500
46,0,173,173,173,2276.500,1216.500
47,0,184,184,184,2280.000,1227.000
48,0,169,169,169,2265.500,1186.000
49,0,207,207,207,2364.500,1133.500
50,0,212,212,212,2360.000,1148.500
51,0,203,203,203,2364.500,1166.500
52,0,199,199,199,2393.500,1234.500
53,0,199,199,199,1899.167,860.833
54,0,202,202,202,1945.833,868.833
55,0,177,177,177,2008.500,936.833
56,0,181,181,181,2064.500,920.833
57,0,230,230,230,2119.167,907.500
58,0,188,188,188,2199.167,931.500
59,0,189,189,189,2179.167,1036.833
60,0,176,176,176,2104.500,1007.500
61,0,172,172,172,2471.167,1501.500
62,0,186,186,186,2512.500,1512.833
63,0,175,175,175,2505.167,1518.167
64,0,174,174,174,2460.500,1468.833
65,0,192,192,192,2443.833,1487.500
66,0,196,196,196,2429.833,1488.833
67,0,193,193,193,2427.833,1502.167
68,0,160,160,160,2413.833,1517.500
69,0,167,167,167,2432.500,1514.833
70,0,162,162,162,2368.500,1532.167
71,0,197,197,197,2373.167,1542.167
72,0,178,178,178,2355.833,1548.167
73,0,165,165,165,2325.833,1540.167
74,0,163,163,163,2313.833,1557.500
75,0,172,172,172,2285.833,1530.167
76,0,170,170,170,2269.833,1536.167
77,0,161,161,161,2267.833,1550.833
78,0,180,180,180,2329.167,1516.833
79,0,186,186,186,2269.833,1463.500
80,0,162,162,162,2303.833,1474.833
81,0,178,178,178,2325.167,1436.167
82,0,177,177,177,2337.167,1376.167
83,0,181,181,181,2445.167,1358.833
84,0,183,183,183,2477.167,1394.167
85,0,212,212,212,2476.500,1423.500
86,0,195,195,195,2471.167,1293.500
87,0,168,168,168,2461.833,1303.500
88,0,162,162,162,2312.500,1355.500
89,0,178,178,178,2312.500,1290.167
90,0,156,156,156,1361.167,1799.167
91,0,150,150,150,1233.167,1731.167
92,0,154,154,154,1230.500,1824.500
93,0,154,154,154,1187.833,1879.167
94,0,147,147,147,1147.833,1927.167
95,0,142,142,142,1222.500,1947.167
96,0,138,138,138,1202.500,2015.167
97,0,158,158,158,1421.167,1844.500
98,0,166,166,166,1414.500,1904.500
99,0,143,143,143,1441.167,1911.167
100,0,161,161,161,878.500,1828.500
101,0,168,168,168,773.167,1715.167
102,0,172,172,172,830.500,1717.833
103,0,169,169,169,711.833,1737.833
104,0,145,145,145,953.167,2067.167
105,0,155,155,155,843.833,2035.167
106,0,161,161,161,951.833,1988.500
107,0,144,144,144,1417.167,2171.167
108,0,147,147,147,1421.167,2187.167
109,0,170,170,170,1419.833,2216.500
110,0,147,147,147,1419.833,2261.833
111,0,171,171,171,1398.500,2349.833
112,0,158,158,158,1207.833,2367.167
113,0,162,162,162,1381.167,2448.500
114,0,161,161,161,1414.500,2572.500
115,0,143,143,143,1339.833,2603.167
116,0,159,159,159,1353.167,2683.167
117,0,139,139,139,1258.500,2516.500
118,0,143,143,143,1137.167,2487.167
119,0,147,147,147,1258.500,2431.167
120,0,180,180,180,586.500,1718.500
121,0,198,198,198,552.500,1732.500
122,0,160,160,160,556.500,1746.500
123,0,199,199,199,541.500,1761.500
124,0,191,191,191,557.500,1763.500
125,0,197,197,197,552.500,1781.500
126,0,186,186,186,542.500,1789.500
127,0,187,187,187,589.500,1756.500
128,0,188,188,188,633.500,1807.500
129,0,160,160,160,649.500,1826.500
130,0,182,182,182,664.500,1771.500
131,0,154,154,154,678.500,1775.500
132,0,178,178,178,653.500,1733.500
133,0,151,151,151,994.500,1710.500
134,0,183,183,183,632.833,2035.833
