 ,Area,Mean,Min,Max,X,Y
1,0,146,146,146,1898.000,1245.500
2,0,157,157,157,1906.000,1269.000
3,0,167,167,167,1920.000,1264.000
4,0,139,139,139,2004.000,1282.000
5,0,163,163,163,1974.000,1324.500
6,0,148,148,148,1983.000,1374.000
7,0,173,173,173,2022.500,1378.000
8,0,162,162,162,2016.000,1419.000
9,0,178,178,178,1982.500,1451.000
10,0,133,133,133,1987.000,1460.500
11,0,144,144,144,2006.500,1455.500
12,0,177,177,177,1892.000,1387.500
13,0,125,125,125,1891.000,1412.000
14,0,146,146,146,1852.500,1331.000
15,0,182,182,182,1845.500,1325.500
16,0,144,144,144,1847.000,1290.000
17,0,148,148,148,1849.000,1267.000
18,0,184,184,184,1922.000,1411.500
19,0,188,188,188,1909.000,1464.000
20,0,155,155,155,1862.500,1444.500
21,0,184,184,184,1805.500,1442.000
22,0,130,130,130,1786.500,1392.500
23,0,163,163,163,1889.500,1492.000
24,0,158,158,158,1944.500,1518.500
25,0,153,153,153,1996.000,1512.500
26,0,176,176,176,2005.000,1539.000
27,0,177,177,177,1926.500,1566.000
28,0,150,150,150,1885.000,1545.500
29,0,189,189,189,1846.000,1570.000
30,0,144,144,144,1879.000,1639.500
31,0,144,144,144,1901.000,1643.500
32,0,183,183,183,2176.500,1408.500
33,0,170,170,170,2362.500,1472.500
34,0,156,156,156,2170.500,1169.500
35,0,189,189,189,2124.500,1216.500
36,0,187,187,187,2201.500,1619.500
37,0,160,160,160,2280.500,1528.500
38,0,187,187,187,2325.500,1583.500
39,0,147,147,147,2083.500,1599.500
40,0,173,173,173,2089.500,1610.500
41,0,158,158,158,2079.500,1581.500
42,0,143,143,143,2075.500,1558.500
43,0,179,179,179,2133.500,1613.500
44,0,180,180,180,2480.500,1678.500
45,0,182,182,182,2059.167,975.500
46,0,162,162,162,1785.833,1072.833
47,0,129,129,129,1760.500,1200.833
48,0,162,162,162,1732.500,1184.833
49,0,154,154,154,1783.167,1500.833
50,0,152,152,152,1796.500,1531.500
51,0,137,137,137,1779.167,1531.500
52,0,159,159,159,1715.833,1476.833
53,0,142,142,142,1747.833,1604.833
54,0,184,184,184,1749.167,1614.167
55,0,132,132,132,1759.167,1564.833
56,0,160,160,160,1782.500,1561.500
57,0,133,133,133,1794.500,1616.833
58,0,137,137,137,1821.167,1622.833
59,0,152,152,152,1935.167,1654.833
60,0,156,156,156,1953.833,1672.167
61,0,179,179,179,1893.833,1666.833
62,0,144,144,144,1850.500,1675.167
63,0,146,146,146,1797.000,1666.000
64,0,131,131,131,1811.500,1674.500
65,0,162,162,162,1285.500,1912.500
66,0,160,160,160,1311.500,1922.500
67,0,168,168,168,1205.500,1895.500
68,0,153,153,153,1288.750,2007.250
69,0,152,152,152,1314.500,2054.500
70,0,183,183,183,1347.250,2031.750
71,0,170,170,170,1336.000,2059.750
72,0,165,165,165,1279.250,2073.000
73,0,153,153,153,1287.000,2107.250
74,0,184,184,184,1260.250,2037.000
75,0,187,187,187,1266.000,2018.000
76,0,175,175,175,1242.250,2032.500
77,0,185,185,185,1236.750,2053.000
78,0,152,152,152,1239.500,1896.500
79,0,151,151,151,1266.500,1894.000
80,0,154,154,154,1242.500,1913.000
81,0,160,160,160,1264.500,1939.500
82,0,165,165,165,1226.500,1997.000
83,0,148,148,148,1195.500,2089.000
84,0,173,173,173,1227.000,2084.500
85,0,159,159,159,1225.500,2120.000
86,0,173,173,173,1162.000,2128.500
87,0,172,172,172,1190.000,2176.000
88,0,161,161,161,1300.000,2168.000
89,0,150,150,150,1368.500,2051.000
90,0,182,182,182,1253.833,2310.833
91,0,196,196,196,1247.833,2339.500
92,0,149,149,149,1209.167,2459.500
93,0,182,182,182,1143.167,2652.833
94,0,169,169,169,1272.500,2688.167
95,0,175,175,175,1077.167,2457.500
96,0,134,134,134,1348.500,2602.833
97,0,176,176,176,1344.500,2428.167
98,0,115,115,115,1350.500,2287.500
99,0,131,131,131,1366.500,2286.833
100,0,132,132,132,1344.500,2320.833
101,0,159,159,159,1297.833,2360.167
102,0,200,200,200,1373.167,2404.833
103,0,171,171,171,1096.500,2247.000
104,0,169,169,169,983.500,2322.000
105,0,183,183,183,929.500,2371.500
106,0,162,162,162,1131.167,1931.500
107,0,171,171,171,1099.833,1954.833
108,0,148,148,148,1078.500,1976.833
109,0,165,165,165,1105.833,2013.500
110,0,148,148,148,813.833,2137.500
111,0,147,147,147,1370.833,1985.500
112,0,134,134,134,1363.500,2000.167
113,0,187,187,187,1372.833,1912.167
114,0,150,150,150,1350.833,1856.833
115,0,142,142,142,1417.500,1906.833
116,0,201,201,201,1455.500,1892.833
117,0,144,144,144,1456.833,1905.500
118,0,198,198,198,1406.167,1960.167
119,0,156,156,156,1438.833,1953.500
120,0,163,163,163,1380.500,1995.167
121,0,140,140,140,1410.167,2002.167
122,0,191,191,191,1412.167,2028.167
123,0,189,189,189,1393.500,2087.000
124,0,167,167,167,1397.000,2117.000
125,0,168,168,168,1373.500,2190.500
126,0,172,172,172,1433.500,2158.000
127,0,130,130,130,1476.500,2127.500
128,0,161,161,161,1489.500,2111.500
129,0,191,191,191,1484.500,2105.000
130,0,131,131,131,1442.000,2004.000
131,0,144,144,144,1423.500,2010.500
132,0,147,147,147,1406.000,2201.000
133,0,169,169,169,1415.000,2252.000
134,0,158,158,158,1402.000,2297.500
135,0,146,146,146,1456.000,1972.500
136,0,193,193,193,1473.500,1953.000
137,0,126,126,126,1482.500,1944.000
138,0,178,178,178,1480.000,2007.500
139,0,141,141,141,1456.500,2013.000
140,0,183,183,183,1470.000,2016.000
141,0,157,157,157,1407.500,2495.000
142,0,173,173,173,1375.500,2615.500
143,0,198,198,198,1299.500,2267.500
144,0,165,165,165,1300.500,2205.500
145,0,144,144,144,1269.500,2191.500
146,0,188,188,188,1211.500,2212.500
147,0,188,188,188,1461.500,1855.167
148,0,129,129,129,1449.500,1845.833
149,0,139,139,139,1389.500,1841.167
150,0,173,173,173,1276.167,1837.833
151,0,182,182,182,1204.500,1826.833
152,0,164,164,164,1238.500,1826.833
153,0,169,169,169,1983.500,1717.000
154,0,146,146,146,1958.500,1715.000
155,0,133,133,133,1879.500,1698.000
156,0,153,153,153,1820.500,1686.000
157,0,152,152,152,1772.000,1681.500
158,0,137,137,137,1753.000,1679.000
159,0,176,176,176,1699.500,1554.000
160,0,158,158,158,1684.000,1563.000
161,0,143,143,143,1696.000,1612.500
162,0,144,144,144,1699.500,1635.000
163,0,133,133,133,1703.500,1654.500
164,0,142,142,142,1678.500,1598.000
165,0,128,128,128,1739.500,1690.500
166,0,147,147,147,1702.833,1439.667
167,0,161,161,161,1697.500,1411.333
168,0,183,183,183,2322.500,1756.000
