 ,Area,Mean,Min,Max,X,Y
1,0,165,165,165,1886.000,1118.000
2,0,160,160,160,1826.833,1164.167
3,0,133,133,133,1866.833,1186.167
4,0,158,158,158,1885.500,1212.833
5,0,165,165,165,1804.833,1214.833
6,0,155,155,155,1867.500,1277.500
7,0,142,142,142,1812.833,1298.167
8,0,174,174,174,1946.167,993.500
9,0,169,169,169,1987.500,1181.500
10,0,169,169,169,1943.167,1404.167
11,0,177,177,177,1907.833,1439.500
12,0,183,183,183,1869.833,1434.833
13,0,161,161,161,1841.167,1392.167
14,0,177,177,177,2015.167,1341.500
15,0,173,173,173,2049.167,1337.500
16,0,170,170,170,2063.167,1316.167
17,0,137,137,137,2057.167,1391.500
18,0,129,129,129,2013.167,1431.500
19,0,149,149,149,1959.833,1468.833
20,0,148,148,148,1932.500,1453.500
21,0,156,156,156,2031.167,1492.167
22,0,156,156,156,2005.833,1498.833
23,0,148,148,148,2017.167,1059.167
24,0,178,178,178,2035.833,1077.833
25,0,135,135,135,2056.500,1111.833
26,0,175,175,175,2014.500,1231.833
27,0,187,187,187,2213.167,1057.167
28,0,175,175,175,2294.500,1144.500
29,0,205,205,205,2498.500,1259.500
30,0,200,200,200,2224.500,1543.167
31,0,168,168,168,2125.833,1541.833
32,0,135,135,135,2004.500,1527.500
33,0,163,163,163,1816.167,744.167
34,0,151,151,151,1914.833,830.833
35,0,161,161,161,1848.167,892.167
36,0,170,170,170,1792.167,978.833
37,0,140,140,140,1766.833,1022.833
38,0,177,177,177,1784.167,1426.833
39,0,149,149,149,1786.833,1474.833
40,0,169,169,169,1814.833,1477.500
41,0,154,154,154,1758.833,1520.167
42,0,164,164,164,1873.167,1520.167
43,0,149,149,149,1841.500,1546.167
44,0,161,161,161,1907.500,1561.167
45,0,163,163,163,1915.833,1525.833
46,0,188,188,188,1950.500,1553.500
47,0,171,171,171,2041.500,1566.167
48,0,183,183,183,2172.833,1567.167
49,0,147,147,147,1173.167,1841.167
50,0,163,163,163,1239.833,1803.167
51,0,149,149,149,1509.500,2315.500
52,0,191,191,191,1555.500,1854.833
53,0,168,168,168,1497.500,1920.833
54,0,175,175,175,968.000,2207.000
