 ,Area,Mean,Min,Max,X,Y
1,0,143,143,143,1671.000,1029.000
2,0,157,157,157,1877.500,1275.500
3,0,161,161,161,1866.500,1318.500
4,0,143,143,143,1854.500,1383.500
5,0,148,148,148,1617.500,1378.500
6,0,164,164,164,1919.500,994.500
7,0,154,154,154,1894.500,1032.500
8,0,146,146,146,1903.500,1129.500
9,0,150,150,150,1985.500,1086.500
10,0,164,164,164,2005.500,1046.500
11,0,172,172,172,2019.500,1147.500
12,0,161,161,161,2041.500,1255.500
13,0,164,164,164,2137.500,1352.500
14,0,166,166,166,2121.500,795.500
15,0,151,151,151,1985.500,669.500
16,0,154,154,154,1897.500,657.500
17,0,140,140,140,1806.500,729.500
18,0,174,174,174,2411.833,1269.167
19,0,159,159,159,2211.833,1158.500
20,0,139,139,139,2142.500,1542.500
21,0,177,177,177,2487.500,1509.000
22,0,141,141,141,1982.500,1464.500
23,0,128,128,128,1640.167,1461.833
24,0,155,155,155,1619.167,714.500
25,0,151,151,151,857.500,2053.500
26,0,159,159,159,859.500,1859.500
27,0,174,174,174,705.500,1893.500
28,0,168,168,168,669.500,2037.500
29,0,178,178,178,483.500,2093.500
30,0,170,170,170,985.500,1891.500
31,0,147,147,147,1123.500,1979.500
32,0,153,153,153,1125.500,2031.500
33,0,141,141,141,1236.500,2091.500
34,0,151,151,151,1211.500,2171.500
35,0,148,148,148,1163.500,2116.500
36,0,154,154,154,1124.500,2114.500
37,0,151,151,151,1079.500,2164.500
38,0,156,156,156,1055.500,2055.500
39,0,166,166,166,1044.500,2600.500
40,0,135,135,135,1143.500,1816.500
41,0,131,131,131,1249.500,1806.500
42,0,182,182,182,369.167,1663.167
43,0,198,198,198,310.500,1789.833
