 ,Area,Mean,Min,Max,X,Y
1,0,157,157,157,1231.000,1111.000
2,0,155,155,155,1323.500,1326.500
3,0,153,153,153,1442.500,1384.500
4,0,127,127,127,1507.500,1346.500
5,0,150,150,150,1536.500,1395.500
6,0,154,154,154,1549.500,1409.500
7,0,129,129,129,1515.500,1470.500
8,0,201,201,201,549.833,1596.833
9,0,152,152,152,749.833,1602.167
10,0,158,158,158,1444.500,1545.500
11,0,147,147,147,1427.500,1625.500
12,0,113,113,113,1470.500,1646.500
13,0,137,137,137,1485.500,1656.500
14,0,138,138,138,1492.500,1639.500
15,0,122,122,122,1484.500,1592.500
16,0,153,153,153,1485.500,1608.500
17,0,114,114,114,1488.500,1539.500
18,0,169,169,169,1510.500,1527.500
19,0,128,128,128,1521.500,1519.500
20,0,116,116,116,1522.500,1602.500
21,0,149,149,149,1783.500,1999.500
22,0,122,122,122,1828.500,2098.500
23,0,160,160,160,1882.500,2079.500
24,0,147,147,147,1968.500,2011.500
25,0,151,151,151,2004.500,2034.500
26,0,162,162,162,2023.500,2017.500
27,0,145,145,145,2044.500,2053.500
28,0,158,158,158,2072.500,2025.500
29,0,168,168,168,2147.500,1989.500
30,0,191,191,191,1858.500,2173.500
31,0,164,164,164,1757.500,2123.500
32,0,176,176,176,1760.500,2084.500
33,0,143,143,143,1693.500,2182.500
34,0,114,114,114,1719.500,2252.500
35,0,123,123,123,1722.500,2274.500
36,0,124,124,124,1804.500,2271.500
37,0,152,152,152,1840.500,2366.500
38,0,164,164,164,1765.500,2348.500
39,0,127,127,127,1717.833,1922.500
40,0,125,125,125,1738.500,1922.500
41,0,151,151,151,1679.833,1953.167
42,0,138,138,138,1711.833,2033.833
43,0,156,156,156,1684.500,2025.833
44,0,130,130,130,1676.500,2056.500
45,0,120,120,120,1674.500,2073.167
46,0,165,165,165,1672.500,2103.833
47,0,164,164,164,1801.833,1943.833
48,0,185,185,185,1836.500,1905.833
49,0,157,157,157,1835.833,1948.500
50,0,183,183,183,1883.167,1945.167
51,0,158,158,158,1812.167,2580.500
52,0,186,186,186,1794.833,2687.833
53,0,177,177,177,1678.833,2443.167
54,0,146,146,146,1918.500,1915.167
55,0,156,156,156,1949.167,1915.833
56,0,191,191,191,2099.500,1907.500
57,0,141,141,141,1739.500,1895.500
58,0,141,141,141,1732.833,1884.833
59,0,160,160,160,2219.500,1918.500
60,0,202,202,202,2265.500,1913.500
61,0,125,125,125,1998.500,1899.500
62,0,179,179,179,1679.833,2321.833
63,0,133,133,133,1663.833,2345.167
