 ,Area,Mean,Min,Max,X,Y
1,0,194,194,194,1635.500,1940.000
2,0,182,182,182,1655.000,1997.500
3,0,147,147,147,1687.000,2076.500
4,0,152,152,152,1712.500,2034.000
5,0,181,181,181,1750.500,1988.000
6,0,172,172,172,1753.000,2014.000
7,0,170,170,170,1724.500,2063.500
8,0,168,168,168,1617.000,2122.000
9,0,148,148,148,1667.500,2275.500
10,0,183,183,183,1781.000,1953.500
11,0,144,144,144,1788.500,1962.500
12,0,184,184,184,1789.500,1980.500
13,0,184,184,184,1950.167,2175.167
14,0,173,173,173,2019.500,2273.833
15,0,186,186,186,2075.500,2292.500
16,0,142,142,142,1803.000,2217.500
17,0,151,151,151,1756.000,2319.000
18,0,186,186,186,1667.833,2369.500
19,0,232,232,232,2674.500,2070.500
20,0,182,182,182,1366.500,1579.500
21,0,200,200,200,1330.500,1618.500
22,0,163,163,163,1392.500,1631.500
23,0,171,171,171,1422.500,1635.500
24,0,192,192,192,1410.500,1500.500
25,0,160,160,160,1350.500,1464.500
26,0,177,177,177,1326.500,1349.500
27,0,203,203,203,1278.500,1108.167
28,0,215,215,215,1131.833,1024.167
29,0,205,205,205,1039.833,1113.500
30,0,177,177,177,1198.500,1182.833
31,0,204,204,204,1298.500,1228.167
32,0,189,189,189,1313.167,1278.833
33,0,205,205,205,1407.833,1172.167
34,0,218,218,218,1387.833,1024.167
35,0,226,226,226,1318.500,905.500
36,0,180,180,180,1026.500,1352.167
37,0,240,240,240,1426.500,785.500
38,0,200,200,200,707.500,1615.500
39,0,196,196,196,585.500,1598.167
40,0,179,179,179,1205.500,1735.833
41,0,189,189,189,1142.833,1765.167
42,0,204,204,204,1246.500,1694.167
43,0,181,181,181,1237.833,1694.833
44,0,180,180,180,1280.500,1736.833
45,0,169,169,169,1241.167,1743.500
46,0,168,168,168,1231.167,1757.500
47,0,201,201,201,1249.833,1776.167
48,0,178,178,178,1352.500,1760.167
49,0,174,174,174,1409.833,1720.167
50,0,178,178,178,1393.167,1754.833
51,0,176,176,176,1407.167,1754.833
52,0,169,169,169,1417.167,1586.833
53,0,199,199,199,1397.167,1776.167
54,0,188,188,188,1435.167,1770.167
55,0,192,192,192,1437.500,1727.000
56,0,187,187,187,1443.000,1751.000
57,0,185,185,185,1420.833,1786.833
58,0,193,193,193,1361.833,1797.833
59,0,185,185,185,1298.875,1802.125
60,0,173,173,173,1061.667,1787.667
61,0,177,177,177,1038.333,1789.167
62,0,164,164,164,1099.500,1777.500
63,0,176,176,176,995.000,1800.000
64,0,197,197,197,778.500,1731.833
65,0,191,191,191,768.500,1757.833
66,0,194,194,194,783.167,1782.500
67,0,199,199,199,809.833,1777.167
68,0,190,190,190,843.167,1777.167
69,0,196,196,196,844.500,1785.167
70,0,195,195,195,917.833,1779.833
71,0,206,206,206,676.500,1768.500
72,0,215,215,215,426.167,1691.500
73,0,214,214,214,366.167,1753.500
74,0,220,220,220,494.167,1786.833
75,0,211,211,211,504.833,1784.167
76,0,217,217,217,543.500,1773.500
77,0,205,205,205,1426.833,1095.500
78,0,184,184,184,1426.500,1437.500
79,0,249,249,249,717.167,1149.500
80,0,211,211,211,2474.833,2498.167
