 ,Area,Mean,Min,Max,X,Y
1,0,136,136,136,1154.000,1169.000
2,0,147,147,147,1205.833,1201.167
3,0,165,165,165,1011.167,978.500
4,0,148,148,148,921.833,1242.500
5,0,130,130,130,1011.167,1506.500
6,0,126,126,126,1148.500,1377.167
7,0,152,152,152,1165.833,1439.833
8,0,129,129,129,1209.833,1338.500
9,0,153,153,153,1197.833,1563.833
10,0,141,141,141,1237.833,1567.833
11,0,182,182,182,414.833,1410.167
12,0,160,160,160,705.500,1214.167
13,0,167,167,167,758.833,1442.167
14,0,147,147,147,584.167,1624.833
15,0,161,161,161,606.833,1624.833
16,0,157,157,157,776.833,1637.167
17,0,149,149,149,1803.500,1920.500
18,0,169,169,169,1983.500,1953.833
19,0,188,188,188,1666.167,1921.833
20,0,134,134,134,1519.500,1903.167
21,0,154,154,154,1538.167,2155.167
22,0,165,165,165,1671.500,2157.833
23,0,183,183,183,1564.833,2233.833
24,0,152,152,152,1678.167,2265.833
25,0,139,139,139,1766.167,2277.833
26,0,164,164,164,1898.167,2271.167
27,0,143,143,143,1910.167,2247.167
28,0,150,150,150,1988.833,2319.167
29,0,149,149,149,1816.833,2381.833
30,0,149,149,149,1556.833,2485.833
31,0,129,129,129,1606.167,2512.500
32,0,149,149,149,1627.500,2623.167
33,0,146,146,146,1780.833,2576.500
34,0,131,131,131,1570.167,2712.500
35,0,144,144,144,1480.167,2280.500
36,0,121,121,121,1415.500,2353.833
37,0,138,138,138,1455.500,2409.833
38,0,126,126,126,1414.833,2449.167
39,0,159,159,159,1411.500,2513.833
40,0,171,171,171,1424.167,2660.500
