 ,Area,Mean,Min,Max,X,Y
1,0,161,161,161,1214.000,418.000
2,0,157,157,157,1193.500,438.500
3,0,150,150,150,1177.500,477.500
4,0,168,168,168,1099.500,495.500
5,0,169,169,169,1202.500,566.500
6,0,154,154,154,1273.500,572.500
7,0,144,144,144,1204.500,643.500
8,0,146,146,146,1200.500,702.500
9,0,159,159,159,1237.500,711.500
10,0,177,177,177,868.500,658.500
11,0,148,148,148,1221.500,1028.500
12,0,122,122,122,1154.500,1104.500
13,0,150,150,150,959.500,1216.500
14,0,171,171,171,929.500,1245.500
15,0,160,160,160,1000.500,1238.500
16,0,187,187,187,802.500,1144.167
17,0,166,166,166,773.167,1180.167
18,0,147,147,147,931.833,834.833
19,0,172,172,172,755.833,1206.833
20,0,206,206,206,439.833,1120.167
21,0,169,169,169,1270.500,822.500
22,0,116,116,116,1277.500,837.500
23,0,163,163,163,1267.500,861.500
24,0,166,166,166,1262.500,904.500
25,0,132,132,132,1261.500,993.500
26,0,158,158,158,1265.500,960.500
27,0,133,133,133,1232.500,978.500
28,0,147,147,147,1243.500,1003.500
29,0,152,152,152,1263.500,1040.500
30,0,134,134,134,1258.500,1068.500
31,0,165,165,165,1260.500,1096.500
32,0,146,146,146,1219.500,1265.500
33,0,132,132,132,1084.500,1255.500
34,0,149,149,149,1265.500,1249.500
35,0,121,121,121,1573.500,1454.500
36,0,139,139,139,1582.500,1479.500
37,0,142,142,142,1543.500,1553.500
38,0,137,137,137,1487.500,1588.500
39,0,143,143,143,1471.500,1695.500
40,0,153,153,153,1490.500,1733.500
41,0,146,146,146,1499.500,1842.500
42,0,159,159,159,1646.500,1785.500
43,0,155,155,155,1559.500,1962.500
44,0,150,150,150,1517.500,1947.500
45,0,125,125,125,1545.500,2028.500
46,0,166,166,166,1590.500,2186.500
47,0,151,151,151,1836.500,1467.500
48,0,147,147,147,1823.500,1482.500
49,0,138,138,138,1870.500,1483.500
50,0,158,158,158,2063.500,1466.500
51,0,162,162,162,1872.500,1708.500
52,0,147,147,147,1946.500,1865.500
53,0,164,164,164,1996.500,2014.500
54,0,161,161,161,1835.500,2146.500
55,0,176,176,176,2349.500,1469.500
56,0,157,157,157,2250.500,1518.500
57,0,165,165,165,2240.500,1533.500
58,0,154,154,154,2199.500,1712.500
59,0,153,153,153,2195.500,1745.500
