 ,Area,Mean,Min,Max,X,Y
1,0,124,124,124,1680.000,1474.000
2,0,137,137,137,1795.500,1477.500
3,0,160,160,160,2044.833,1624.167
4,0,139,139,139,1994.833,1649.500
5,0,160,160,160,2116.833,1666.167
6,0,157,157,157,2137.500,1737.500
7,0,148,148,148,2078.833,1820.833
8,0,141,141,141,2024.833,1823.500
9,0,161,161,161,1951.500,1798.167
10,0,169,169,169,2087.500,1889.500
11,0,149,149,149,2014.833,1955.500
12,0,125,125,125,1516.500,1781.500
13,0,127,127,127,1588.500,1774.500
14,0,131,131,131,1645.500,1809.500
15,0,130,130,130,1643.500,1837.500
16,0,147,147,147,1754.500,1902.500
17,0,149,149,149,1811.500,1857.500
18,0,124,124,124,1746.500,2004.500
19,0,129,129,129,1568.500,1933.500
20,0,149,149,149,1646.500,2131.500
21,0,125,125,125,1555.500,1583.500
22,0,131,131,131,1512.500,2028.500
23,0,164,164,164,2078.167,1488.833
24,0,134,134,134,1941.500,1461.500
25,0,152,152,152,2065.500,2013.500
26,0,156,156,156,1929.500,2235.167
27,0,156,156,156,1873.500,2261.833
28,0,160,160,160,920.500,789.500
29,0,131,131,131,969.500,905.500
30,0,150,150,150,888.500,887.500
31,0,156,156,156,913.500,1100.500
32,0,159,159,159,1152.167,571.500
33,0,133,133,133,1156.167,647.500
34,0,138,138,138,1233.500,803.500
35,0,144,144,144,1164.167,939.500
36,0,164,164,164,748.167,655.500
37,0,163,163,163,773.500,692.833
38,0,171,171,171,786.833,720.833
39,0,147,147,147,1318.500,1155.167
40,0,148,148,148,1122.500,1151.167
