date,replicate,line,conditioning,high_count,low_count,total_count,prop_high,prop_low,preference_index,notes,,,,
29-May,1,2,naive,223,605,828,0.269323671,0.730676329,-0.461352657,,,,,
29-May,2,2,naive,693,1181,1874,0.369797225,0.630202775,-0.26040555,,,,,
29-May,1,2,conditioned,105,242,347,0.30259366,0.69740634,-0.39481268,,,,,
29-May,2,2,conditioned,103,420,523,0.196940727,0.803059273,-0.606118547,,,,,
5-Jun,1,2,naive,198,138,336,0.589285714,0.410714286,0.178571429,,,,,
5-Jun,2,2,naive,147,114,261,0.563218391,0.436781609,0.126436782,,,,,
5-Jun,1,2,conditioned,148,79,227,0.651982379,0.348017621,0.303964758,,,,,
12-Jun,1,2,naive,335,312,647,0.517774343,0.482225657,0.035548686,,,,,
12-Jun,1,2,conditioned,202,76,278,0.726618705,0.273381295,0.45323741,,,,,
19-Jun,1,2,naive,134,140,274,0.489051095,0.510948905,-0.02189781,,,,,
19-Jun,1,2,conditioned,202,38,240,0.841666667,0.158333333,0.683333333,,,,,
22-May,1,5,naive,45,209,254,0.177165354,0.822834646,-0.645669291,,,,,
22-May,2,5,naive,130,106,236,0.550847458,0.449152542,0.101694915,,,,,
22-May,1,5,conditioned,197,226,423,0.46572104,0.53427896,-0.06855792,,,,,
29-May,1,5,naive,78,272,350,0.222857143,0.777142857,-0.554285714,,,,,
29-May,1,5,conditioned,128,114,242,0.52892562,0.47107438,0.05785124,,,,,
29-May,2,5,conditioned,63,30,93,0.677419355,0.322580645,0.35483871,,,,,
5-Jun,1,5,naive,84,97,181,0.464088398,0.535911602,-0.071823204,,,,,
5-Jun,1,5,conditioned,63,30,93,0.677419355,0.322580645,0.35483871,,,,,
12-Jun,1,5,naive,181,437,618,0.292880259,0.707119741,-0.414239482,,,,,
12-Jun,2,5,naive,203,339,542,0.374538745,0.625461255,-0.250922509,,,,,
12-Jun,1,5,conditioned,102,93,195,0.523076923,0.476923077,0.046153846,,,,,
12-Jun,2,5,conditioned,238,172,410,0.580487805,0.419512195,0.16097561,,,,,
19-Jun,1,5,naive,201,323,524,0.383587786,0.616412214,-0.232824427,,,,,
22-May,1,7,naive,145,217,362,0.400552486,0.599447514,-0.198895028,,,,,
22-May,1,7,conditioned,534,400,934,0.571734475,0.428265525,0.143468951,,,,,
29-May,1,7,naive,43,108,151,0.284768212,0.715231788,-0.430463576,,,,,
29-May,2,7,naive,89,243,332,0.268072289,0.731927711,-0.463855422,,,,,
29-May,1,7,conditioned,141,210,351,0.401709402,0.598290598,-0.196581197,,,,,
29-May,2,7,conditioned,192,141,333,0.576576577,0.423423423,0.153153153,,,,,
5-Jun,1,7,naive,78,123,201,0.388059701,0.611940299,-0.223880597,,,,,
5-Jun,2,7,naive,116,180,296,0.391891892,0.608108108,-0.216216216,,,,,
5-Jun,1,7,conditioned,211,196,407,0.518427518,0.481572482,0.036855037,,,,,
5-Jun,2,7,conditioned,354,97,451,0.784922395,0.215077605,0.569844789,,,,,
5-Jun,3,7,conditioned,121,53,174,0.695402299,0.304597701,0.390804598,,,,,
12-Jun,1,7,naive,325,339,664,0.489457831,0.510542169,-0.021084337,,,,,
12-Jun,2,7,naive,139,346,485,0.286597938,0.713402062,-0.426804124,,,,,
12-Jun,1,7,conditioned,121,47,168,0.720238095,0.279761905,0.44047619,,,,,
22-May,1,9,naive,46,40,86,0.534883721,0.465116279,0.069767442,,,,,
22-May,1,9,conditioned,157,100,257,0.610894942,0.389105058,0.221789883,,,,,
29-May,1,9,naive,205,441,646,0.317337461,0.682662539,-0.365325077,,,,,
29-May,2,9,naive,238,496,734,0.324250681,0.675749319,-0.351498638,,,,,
29-May,1,9,conditioned,232,119,351,0.660968661,0.339031339,0.321937322,,,,,
29-May,2,9,conditioned,178,321,499,0.356713427,0.643286573,-0.286573146,,,,,
5-Jun,1,9,naive,20,37,57,0.350877193,0.649122807,-0.298245614,,,,,
5-Jun,2,9,naive,114,158,272,0.419117647,0.580882353,-0.161764706,,,,,
5-Jun,3,9,naive,105,78,183,0.573770492,0.426229508,0.147540984,,,,,
5-Jun,1,9,conditioned,179,174,353,0.507082153,0.492917847,0.014164306,,,,,
5-Jun,2,9,conditioned,68,137,205,0.331707317,0.668292683,-0.336585366,,,,,
12-Jun,1,9,naive,258,254,512,0.50390625,0.49609375,0.0078125,,,,,
12-Jun,2,9,naive,217,224,441,0.492063492,0.507936508,-0.015873016,,,,,
12-Jun,1,9,conditioned,119,95,214,0.556074766,0.443925234,0.112149533,,,,,
12-Jun,2,9,conditioned,171,185,356,0.480337079,0.519662921,-0.039325843,,,,,
19-Jun,1,9,conditioned,131,110,241,0.543568465,0.456431535,0.087136929,,,,,
22-May,1,10,naive,71,73,144,0.493055556,0.506944444,-0.013888889,,,,,
22-May,2,10,naive,30,44,74,0.405405405,0.594594595,-0.189189189,,,,,
22-May,1,10,conditioned,52,18,70,0.742857143,0.257142857,0.485714286,,,,,
29-May,1,10,naive,71,79,150,0.473333333,0.526666667,-0.053333333,,,,,
29-May,2,10,naive,153,171,324,0.472222222,0.527777778,-0.055555556,,,,,
29-May,1,10,conditioned,174,206,380,0.457894737,0.542105263,-0.084210526,,,,,
29-May,2,10,conditioned,106,68,174,0.609195402,0.390804598,0.218390805,,,,,
5-Jun,1,10,naive,278,221,499,0.557114228,0.442885772,0.114228457,,,,,
5-Jun,2,10,naive,115,81,196,0.586734694,0.413265306,0.173469388,,,,,
5-Jun,3,10,naive,234,184,418,0.559808612,0.440191388,0.119617225,,,,,
5-Jun,1,10,conditioned,193,307,500,0.386,0.614,-0.228,,,,,
5-Jun,2,10,conditioned,78,111,189,0.412698413,0.587301587,-0.174603175,,,,,
12-Jun,1,10,naive,117,218,335,0.349253731,0.650746269,-0.301492537,,,,,
12-Jun,2,10,naive,188,217,405,0.464197531,0.535802469,-0.071604938,,,,,
12-Jun,1,10,conditioned,172,124,296,0.581081081,0.418918919,0.162162162,,,,,
12-Jun,2,10,conditioned,76,174,250,0.304,0.696,-0.392,,,,,
19-Jun,1,10,conditioned,146,65,211,0.691943128,0.308056872,0.383886256,,,,,
19-Jun,2,10,conditioned,130,6,136,0.955882353,0.044117647,0.911764706,,,,,
22-May,1,11,naive,72,199,271,0.265682657,0.734317343,-0.468634686,,,,,
22-May,2,11,naive,138,220,358,0.38547486,0.61452514,-0.229050279,,,,,
22-May,1,11,conditioned,224,143,367,0.610354223,0.389645777,0.220708447,,,,,
22-May,2,11,conditioned,221,103,324,0.682098765,0.317901235,0.364197531,,,,,
29-May,1,11,naive,553,667,1220,0.453278689,0.546721311,-0.093442623,,,,,
29-May,2,11,naive,323,922,1245,0.259437751,0.740562249,-0.481124498,,,,,
29-May,1,11,conditioned,235,112,347,0.677233429,0.322766571,0.354466859,,,,,
29-May,2,11,conditioned,295,165,460,0.641304348,0.358695652,0.282608696,,,,,
5-Jun,1,11,naive,150,206,356,0.421348315,0.578651685,-0.157303371,,,,,
5-Jun,2,11,naive,109,82,191,0.570680628,0.429319372,0.141361257,,,,,
5-Jun,1,11,conditioned,173,252,425,0.407058824,0.592941176,-0.185882353,,,,,
5-Jun,2,11,conditioned,135,110,245,0.551020408,0.448979592,0.102040816,,,,,
12-Jun,1,11,naive,131,139,270,0.485185185,0.514814815,-0.02962963,,,,,
12-Jun,2,11,naive,174,150,324,0.537037037,0.462962963,0.074074074,,,,,
12-Jun,3,11,naive,200,325,525,0.380952381,0.619047619,-0.238095238,,,,,
12-Jun,1,11,conditioned,207,186,393,0.526717557,0.473282443,0.053435115,,,,,
12-Jun,2,11,conditioned,168,224,392,0.428571429,0.571428571,-0.142857143,,,,,
,,,,,,,,,,,,,,
22-May,1,12,naive,138,220,358,0.38547486,0.61452514,-0.229050279,,,,,
22-May,1,12,conditioned,144,77,221,0.65158371,0.34841629,0.303167421,,,,,
22-May,2,12,conditioned,117,104,221,0.529411765,0.470588235,0.058823529,,,,,
29-May,1,12,naive,833,141,974,0.85523614,0.14476386,0.710472279,,,,,
29-May,1,12,conditioned,150,104,254,0.590551181,0.409448819,0.181102362,,,,,
29-May,2,12,conditioned,167,203,370,0.451351351,0.548648649,-0.097297297,,,,,
5-Jun,1,12,naive,226,245,471,0.479830149,0.520169851,-0.040339703,,,,,
5-Jun,2,12,naive,218,195,413,0.527845036,0.472154964,0.055690073,,,,,
5-Jun,1,12,conditioned,120,147,267,0.449438202,0.550561798,-0.101123596,,,,,
5-Jun,2,12,conditioned,110,117,227,0.484581498,0.515418502,-0.030837004,,,,,
12-Jun,1,12,naive,65,343,408,0.159313725,0.840686275,-0.681372549,,,,,
12-Jun,2,12,naive,114,485,599,0.190317195,0.809682805,-0.619365609,,,,,
12-Jun,1,12,conditioned,79,171,250,0.316,0.684,-0.368,,,,,
19-Jun,1,12,naive,240,174,414,0.579710145,0.420289855,0.15942029,,,,,
19-Jun,1,12,naive,117,208,325,0.36,0.64,-0.28,,,,,
29-May,1,14,naive,146,409,555,0.263063063,0.736936937,-0.473873874,,,,,
29-May,2,14,naive,113,191,304,0.371710526,0.628289474,-0.256578947,,,,,
29-May,1,14,conditioned,246,131,377,0.652519894,0.347480106,0.305039788,,,,,
29-May,2,14,conditioned,61,52,113,0.539823009,0.460176991,0.079646018,,,,,
5-Jun,1,14,naive,77,49,126,0.611111111,0.388888889,0.222222222,,,,,
5-Jun,1,14,conditioned,75,37,112,0.669642857,0.330357143,0.339285714,,,,,
12-Jun,1,14,naive,130,289,419,0.31026253,0.68973747,-0.37947494,,,,,
12-Jun,2,14,naive,110,308,418,0.263157895,0.736842105,-0.473684211,,,,,
12-Jun,1,14,conditioned,131,110,241,0.543568465,0.456431535,0.087136929,,,,,
12-Jun,2,14,conditioned,172,209,381,0.45144357,0.54855643,-0.097112861,,,,,
19-Jun,1,14,naive,180,153,333,0.540540541,0.459459459,0.081081081,,,,,
19-Jun,2,14,naive,175,118,293,0.597269625,0.402730375,0.194539249,,,,,
19-Jun,3,14,naive,177,173,350,0.505714286,0.494285714,0.011428571,,,,,
19-Jun,4,14,naive,105,80,185,0.567567568,0.432432432,0.135135135,,,,,
19-Jun,5,14,naive,138,129,267,0.516853933,0.483146067,0.033707865,,,,,
19-Jun,1,14,conditioned,204,87,291,0.701030928,0.298969072,0.402061856,,,,,
19-Jun,2,14,conditioned,198,53,251,0.788844622,0.211155378,0.577689243,,,,,
19-Jun,3,14,conditioned,160,107,267,0.599250936,0.400749064,0.198501873,,,,,
19-Jun,4,14,conditioned,179,88,267,0.670411985,0.329588015,0.34082397,,,,,
19-Jun,5,14,conditioned,202,113,315,0.641269841,0.358730159,0.282539683,,,,,
,1,2,naive,57,13,70,0.814285714,0.185714286,0.628571429,,,,,
,3,2,naive,39,28,67,0.582089552,0.417910448,0.164179104,,,,,
,3,2,conditioned,84,11,95,0.884210526,0.115789474,0.768421053,,,,,
,4,2,naive,125,45,170,0.735294118,0.264705882,0.470588235,,,,,
,4,2,conditioned,194,18,212,0.91509434,0.08490566,0.830188679,,,,,
,1,5,naive,32,28,60,0.533333333,0.466666667,0.066666667,,,,,
,1,5,conditioned,96,24,120,0.8,0.2,0.6,,,,,
,2,5,conditioned,60,30,90,0.666666667,0.333333333,0.333333333,,,,,
,3,5,naive,36,26,62,0.580645161,0.419354839,0.161290323,,,,,
,3,5,conditioned,154,41,195,0.78974359,0.21025641,0.579487179,,,,,
,4,5,naive,35,45,80,0.4375,0.5625,-0.125,,,,,
,4,5,conditioned,86,21,107,0.803738318,0.196261682,0.607476636,,,,,
,3,2,conditioned,84,22,106,0.79245283,0.20754717,0.58490566,,,,,
,5,2,conditioned,47,6,53,0.886792453,0.113207547,0.773584906,,,,,
,1,2,naive,54,39,93,0.580645161,0.419354839,0.161290323,,,,,
,1,2,conditioned,101,34,135,0.748148148,0.251851852,0.496296296,,,,,
,2,2,naive,12,40,52,0.230769231,0.769230769,-0.538461538,,,,,
,2,2,conditioned,43,25,68,0.632352941,0.367647059,0.264705882,,,,,
,3,2,naive,43,15,58,0.74137931,0.25862069,0.482758621,,,,,
,3,2,conditioned,169,38,207,0.816425121,0.183574879,0.632850242,,,,,
,4,2,conditioned,78,59,137,0.569343066,0.430656934,0.138686131,,,,,
,1,7,naive,50,80,130,0.384615385,0.615384615,-0.230769231,,,,,
,1,7,conditioned,301,68,369,0.815718157,0.184281843,0.631436314,,,,,
,2,7,naive,15,44,59,0.254237288,0.745762712,-0.491525424,,,,,
,2,7,conditioned,45,30,75,0.6,0.4,0.2,,,,,
,3,7,naive,54,166,220,0.245454545,0.754545455,-0.509090909,,,,,
,3,7,conditioned,168,63,231,0.727272727,0.272727273,0.454545455,,,,,
,4,7,conditioned,13,48,61,0.213114754,0.786885246,-0.573770492,,,,,
,5,7,naive,52,21,73,0.712328767,0.287671233,0.424657534,,,,,
,5,7,conditioned,65,27,92,0.706521739,0.293478261,0.413043478,,,,,
,1,2,conditioned,49,23,72,0.680555556,0.319444444,0.361111111,,,,,
,2,2,naive,13,73,86,0.151162791,0.848837209,-0.697674419,,,,,
,3,2,conditioned,50,17,67,0.746268657,0.253731343,0.492537313,,,,,
,3,2,naive,20,55,75,0.266666667,0.733333333,-0.466666667,,,,,
,1,9,naive,10,50,60,0.166666667,0.833333333,-0.666666667,,,,,
,3,9,conditioned,42,28,70,0.6,0.4,0.2,,,,,
,3,9,naive,76,67,142,0.535211268,0.471830986,0.063380282,,,,,
,4,9,conditioned,37,31,68,0.544117647,0.455882353,0.088235294,,,,,
